id,content,label,background
0,可惜口罩原因不敢买怕快递停在路上,0,该用户因担心疫情导致的物流延误而暂时放弃购买意向。
1,忙死了两边都要看,0,该用户想表达自己同时关注多个直播间导致分身乏术的纠结心态。
2,三文鱼没有了,1,该用户可能因担心物流延误而遗憾无法购买已售罄的三文鱼。
3,上宇辉,0,"该用户可能在催促主播让名为""宇辉""的嘉宾或工作人员上场参与直播。"
4,伴郎服,1,该用户可能是在询问或暗示主播展示或推荐伴郎服装相关的商品。
5,明明上桌,0,该用户想表达的含义是：主播明明刚才把商品摆上展示桌了怎么又拿走了。
6,多吃点,0,该用户可能是在催促主播加快节奏或上架更多商品，类似“赶紧多上点货”的意思。
7,省钱了,0,该用户想表达的含义是：看到商品缺货或不符合需求，自己不用花钱购买了。
8,拍了,1,该用户想表达的是已经下单购买了商品。
9,大米69可以用券大米69可以用券,1,该用户想表达的含义是：询问这款69元的大米是否可以使用优惠券购买。
10,蓝莓原浆拍不了,1,该用户想表达的含义是：想购买蓝莓原浆但发现无法下单。  （结合前文语境，直播间正在讨论商品购买相关话题，如快递担忧、商品缺货、优惠信息等，用户可能是因库存、地区限制或操作问题导致无法完成购买，表达遗憾或寻求帮助。）
11,河北就位啦,0,该用户想表达的含义是：自己已经准备好参与直播间的互动或抢购活动了。
12,和邻居一人一个,0,该用户想表达自己和邻居都打算购买直播间的商品。
13,吃东西怎么这么秀气呀,0,该用户可能在委婉调侃主播吃相过于斯文，暗示可以更放开些享受美食以增强直播感染力。
14,为何我们那么爱辉辉,0,该用户是在表达对主播“辉辉”的喜爱和支持，可能是被主播的表现或产品介绍所打动。
15,好吃,1,该用户想表达的含义是：对直播中展示的食品表示认可和喜爱，暗示有购买意愿。
16,董老二呢,0,该用户可能在询问直播间里某个常出现但当前未露面的主播或嘉宾（如“董老二”）的去向，表达对其出现的期待或对当前环节缺少该人物的疑惑。
17,还有小专场,0,该用户可能在询问或提醒主播是否还会有针对特定商品的集中介绍环节。
18,记笔记,0,该用户想表达的含义是：正在认真记录直播中提到的商品信息或优惠活动。
19,主播好优秀,0,该用户是在夸赞主播的表现出色，可能被其专业能力或人格魅力所打动，从而表达欣赏和支持。
20,挺好看的呀,1,该用户可能是在对直播中展示的某件商品表示认可和欣赏，暗示有潜在的购买意愿。
21,七七好暖,0,该用户是在夸赞主播“七七”的表现让人感到亲切舒适。
22,明明回北京了是吧,0,该用户可能在询问主播“明明”是否已经回到直播间参与互动，表现出对特定主播动向的关注和期待。
23,帅哥中午好呀,0,该用户是在以轻松友好的方式向主播打招呼，表达对直播的关注和互动意愿。
24,巧克力,1,该用户可能是在询问或暗示主播介绍或展示巧克力产品。
25,如火如荼,0,该用户想表达的含义是：直播间的氛围非常热烈活跃。
26,干饭人,0,该用户可能在用网络流行语“干饭人”调侃主播或观众吃饭的样子，暗示直播内容与美食相关或氛围轻松有趣。
27,马马鸟鸟,0,该用户可能在用谐音或方言表达对主播或商品的喜爱，类似于“萌萌哒”或“好可爱”的俏皮夸奖。
28,老公,0,该用户可能是在用亲昵称呼表达对主播的喜爱或互动热情。
29,东东好乖啊,0,该用户是在夸赞直播中展示的产品或宠物（如“东东”）可爱讨喜，流露出对商品的喜爱和潜在购买兴趣。
30,这人是谁,0,该用户可能因主播或嘉宾身份不明而感到疑惑，想确认直播间出现的陌生人物身份。
31,冬冬加油,0,"该用户是在为主播""冬冬""加油打气，表达对主播的支持和喜爱。"
32,这头发,0,该用户可能是在询问或评论主播的发型或发饰的外观效果。
33,四川也拍不了,1,该用户想表达的含义是：商品配送范围不包括四川地区。
34,冯冯好棒,0,该用户是在夸赞主播“冯冯”的表现出色，表达对主播的喜爱和支持。
35,灿在这儿,0,"该用户可能在呼唤或询问主播""灿""当前是否在直播现场。"
36,豆包还有吗,1,该用户是在询问直播间是否还有“豆包”这款商品在售。
37,嫂子在吗,0,该用户可能在询问主播或直播间工作人员是否在线，想确认某个特定商品或环节的 availability。
38,这款除了泡脚可以炖肉吗,1,该用户可能是以调侃或好奇的语气询问产品是否具备除宣传功能外的其他用途（如炖肉），以此试探产品的多功能性或表达对产品实用性的兴趣。
39,中灿辛苦,0,该用户想表达的含义是：对主播中灿的辛勤付出表示慰问和鼓励。
40,像两代人哈哈哈哈,0,该用户可能在调侃直播中人物形象或互动的反差感，觉得双方看起来像有代沟的亲子辈。
41,冯冯太逗了开始撩自己的头发,0,用户觉得主播冯冯的幽默举动（撩头发）很有吸引力，展现了轻松有趣的直播氛围。
42,今天有卖炒锅吗,1,该用户想询问直播间当前是否有炒锅这款商品在售。
43,庆祝你100天拉磨鹏鹏我们永远爱你,0,该用户是在以粉丝身份表达对主播“鹏鹏”的支持和喜爱，庆祝其直播满100天。
44,好吃,1,该用户想表达的含义是：对直播中展示的食品表示认可或产生购买欲望。
45,哈哈哈哈哈哈,0,该用户被直播内容逗乐，用大笑表达轻松愉快的观看情绪。
46,不吓人,0,该用户可能是在评价直播中的某个产品或展示内容并不令人感到害怕或不适。
47,何广智和徐志胜,0,该用户可能是看到直播中出现了何广智和徐志胜两位嘉宾（或相关产品/内容），通过提及他们的名字来表达对这两位人物的关注或兴趣。
48,颈部按摩仪深圳不发货,1,该用户想表达的含义是：询问在深圳地区是否无法购买这款颈部按摩仪。
49,徐州人听得懂,0,该用户可能在表达主播的口音或说话方式让作为徐州人的自己感到亲切熟悉。
50,摸鱼上来看冯冯,0,该用户想表达的含义是：趁空闲时间进直播间看主播冯冯的表演。
51,四川居然不配送,1,该用户想表达的含义是：对商品无法配送到四川地区感到失望或不满。
52,发不了货,1,该用户想表达的含义是：询问自己所在地区是否支持该商品的配送服务。
53,手机,1,该用户可能是在询问直播间是否有手机售卖，或对当前展示的手机产品感兴趣。
54,不支持配送,1,该用户可能因所在地区无法接收商品配送而感到遗憾或不满。
55,支持中灿,0,该用户想表达对主播中灿的支持和鼓励。
56,天权你的记性真是绝了,0,该用户是在调侃主播天权的记忆力差或表现滑稽，可能是在回应之前主播记错产品信息或搞错流程的失误。
57,小孙的嘴回北京了,0,该用户可能在调侃主播说话风格或直播内容与北京相关，暗示主播的言辞或表现突然变得官方或正式。
58,羊奶粉老人可以喝吗,1,该用户是在询问羊奶粉是否适合老年人饮用，以评估该产品是否符合自家老人的需求。
59,这么多地方不能拍,1,该用户想表达的含义是：对商品配送范围受限感到失望或不满。
60,山东回京三天,0,该用户可能在询问从山东发货的商品到北京需要三天时间是否会影响购买决策。
61,好惨大晚上的,0,该用户可能在抱怨直播中提到的商品配送范围受限或发货时间不理想，结合深夜观看场景产生的无奈情绪。
62,加油,0,该用户可能是在为主播或直播间的表现鼓劲打气，表达一种友善的支持态度。
63,77别走,0,"该用户希望主播""77""继续留在直播间不要离开。"
64,我的脑袋里有是董老师是不是可以知识共享,0,该用户可能是想幽默地表达自己受到主播（董老师）的知识吸引，幻想通过某种方式直接获取他的学识。
65,W明明很优秀,0,该用户可能在表达对主播或商品品质的认可，暗示其表现或产品超出预期。
66,荞麦面条今天有吗,1,该用户是在询问直播间当前是否有荞麦面条这款商品在售。
67,辉辉呢,0,"该用户可能在询问主播或嘉宾""辉辉""的去向或为何未出现在直播中。"
68,第一次看冯冯声音好听,0,该用户是在初次观看直播时对主播的声音表示好感，可能因被吸引而停留或产生进一步互动的兴趣。
69,不用单独买,1,该用户想表达的含义是：商品已经包含在其他套餐里，不需要额外单独购买。
70,明明拼了这是,0,该用户想表达的含义是：W明明（主播或产品）的表现非常出色，让人印象深刻。
71,鹏鹏拉磨100天快乐,0,该用户可能在以幽默或调侃的方式庆祝主播“鹏鹏”坚持直播100天，表达对其长期努力的认可和支持。
72,喜旺香肠能不能再来一波儿,1,该用户希望直播间能再次推出喜旺香肠的促销活动或补货上架。
73,虾子不能吃吗,1,该用户可能是在询问直播中提到的虾类产品是否存在食用禁忌或配送限制。
74,这娃还想钻地球,0,该用户可能是在调侃主播或产品的夸张宣传手法，暗示商品描述过于离谱不切实际。
75,为什么虾江苏扬州拍不了,1,该用户想表达的含义是：对无法在江苏扬州地区购买直播间的虾产品感到疑惑和不满。
76,冯冯不挑食了,0,该用户可能是在调侃主播冯冯之前对食物比较挑剔，但现在似乎改变了习惯，表现出对直播中某样商品的兴趣或认可。
77,羊奶粉已拍,1,该用户想表达的含义是：我已经下单购买了羊奶粉。
78,鲜花饼还有吗,1,该用户是在询问直播间是否还有鲜花饼的库存可供购买。
79,孟庭苇,0,该用户可能在询问或提及直播中出现的商品或人物是否与歌手孟庭苇有关联。
