live_id,species,content,label,background
bigbosswarehouse,Daily Essentials,Is it AA batteries Sam?,1,The user is likely inquiring whether the product being discussed uses AA batteries.
bigbosswarehouse,Daily Essentials,under stairs cupboard perfect,0,"The user is implying their interest in finding the perfect under stairs cupboard, indicating a potential interest in purchasing storage solutions for their home."
bigbosswarehouse,Daily Essentials,I like them,0,The user is expressing their positive feelings or approval towards something.
bigbosswarehouse,Daily Essentials,summer house,0,The user is likely expressing an interest in purchasing a summer house.
bigbosswarehouse,Daily Essentials,airing cupboard,1,The user might be referring to a storage space or an item related to household organization.
bigbosswarehouse,Daily Essentials,Good morning,0,"The user might be expressing a positive mood or greeting, without necessarily indicating purchasing interest."
bigbosswarehouse,Daily Essentials,Link 1 set 10.. motion sensor lights.. 10 for 4,0,The user is expressing interest in purchasing a set of 10 motion sensor lights for 4 units.
bigbosswarehouse,Daily Essentials,Perfect thanks,0,The user is expressing satisfaction or approval towards something mentioned in the live stream.
bigbosswarehouse,Daily Essentials,Do you know when the charging wires I brought last week should be with us ?.,0,The user is inquiring about the delivery status of the charging wires they purchased last week.
bigbosswarehouse,Daily Essentials,what is it please,1,The user may be seeking clarification or more information about a product or item being discussed in the live stream.
bigbosswarehouse,Daily Essentials,Got 2 sets are they AA?,0,The user is inquiring about whether the items they received are AA batteries.
bigbosswarehouse,Daily Essentials,Thank you,0,The user is expressing gratitude or appreciation.
bigbosswarehouse,Daily Essentials,loft hatch,0,"The user may be expressing interest in purchasing a loft hatch, based on their previous inquiries and comments about various household items and accessories."
bigbosswarehouse,Daily Essentials,just ordered,0,The user likely expressed an interest in purchasing or has just completed a purchase.
bigbosswarehouse,Daily Essentials,Burger van,1,"The user is likely expressing an interest in a specific product related to burgers, possibly indicating a desire to purchase or inquire about it."
bigbosswarehouse,Daily Essentials,bargain,0,The user is likely expressing an interest in negotiating for a better price or seeking a good deal during the live broadcast.
bigbosswarehouse,Daily Essentials,Ordered 1,0,The user is indicating that they have placed an order.
bigbosswarehouse,Daily Essentials,Got 2 sets,0,The user is interested in purchasing 2 sets of an item.
bigbosswarehouse,Daily Essentials,missed it,0,The user may have missed out on purchasing a product or deal during the live stream.
bigbosswarehouse,Daily Essentials,Sam you got any of them in dartford?,1,The user is inquiring if the product mentioned by Sam is available in the location of Dartford.
bigbosswarehouse,Daily Essentials,I just sit back relax & wait for my Evri driver to knock my door loads of orders coming lol exciting,0,"The user is expressing excitement about the upcoming delivery of their orders from Evri driver while they relax and wait for them to arrive, indicating a high level of anticipation and satisfaction with their shopping experience."
bigbosswarehouse,Daily Essentials,Guys Check us Out,0,The user is possibly expressing interest in exploring the products or services being showcased in the live stream.
bigbosswarehouse,Daily Essentials,No worries thank you for answering.,0,The user is expressing gratitude for receiving an answer and indicating that they are not worried about the situation.
bigbosswarehouse,Daily Essentials,only just missed out,0,The user is expressing disappointment for narrowly missing out on something they wanted.
bigbosswarehouse,Daily Essentials,Just got my Duvet and garden post lights. Brilliant as always. Thanks,0,"The user is expressing satisfaction with their recent purchase of a Duvet and garden post lights, indicating a positive shopping experience and appreciation for the products received."
bigbosswarehouse,Daily Essentials,450 to go for matts marathon goal,0,The user is likely expressing their support and encouragement towards someone named Matt who is close to achieving their marathon fundraising goal.
bigbosswarehouse,Daily Essentials,any ritual gift set,1,The user is expressing interest in purchasing a ritual gift set.
bigbosswarehouse,Daily Essentials,what number are the cups,1,The user is probably inquiring about the sizes of the cups they are interested in purchasing.
bigbosswarehouse,Daily Essentials,450 fidget toy go,0,The user is expressing interest in purchasing a fidget toy priced at 450 units.
bigbosswarehouse,Daily Essentials,Got my chairs they are lovely thank you,0,The user is expressing their satisfaction and gratitude for purchasing chairs from the live stream.
bigbosswarehouse,Daily Essentials,what are the bathroom set you was just on about ?,1,The user is inquiring about the bathroom set that was previously mentioned in the live stream.
bigbosswarehouse,Daily Essentials,any ritual set,0,The user is expressing interest in purchasing a ritual gift set.
bigbosswarehouse,Daily Essentials,Ordered,0,The user is likely expressing their action of making a purchase or placing an order during the live stream.
bigbosswarehouse,Daily Essentials,These are amazing value and heavy,0,The user is likely expressing interest in the products being showcased in the live stream and indicating that they are of great value and quality.
bigbosswarehouse,Daily Essentials,I received mine yesterday they are lush,0,"The user is expressing satisfaction with their recent purchase, indicating that they are happy with the quality of the product they received."
bigbosswarehouse,Daily Essentials,thank you..  wow,0,"The user is expressing appreciation and excitement, possibly indicating interest in purchasing or being impressed by something in the live stream."
bigbosswarehouse,Daily Essentials,¨¬ have 6 of the bath set and they are truly nice,0,"The user is expressing their satisfaction with the bath set they have purchased, indicating that they are happy with the quality of the product."
bigbosswarehouse,Daily Essentials,Got 4 sets thank you!,0,The user is expressing their satisfaction with the purchase of 4 sets of items during the live stream.
bigbosswarehouse,Daily Essentials,Ordered 3 thank you,0,The user is expressing gratitude and satisfaction for their purchase of 3 items.
bigbosswarehouse,Daily Essentials,Can I see Greek blanket please,1,"The user is likely expressing interest in seeing a Greek blanket, indicating potential interest in purchasing one."
bigbosswarehouse,Daily Essentials,What is number 7?,1,The user may be curious about the significance or meaning of the number 7 in the context of the products or items being discussed in the live stream.
bigbosswarehouse,Daily Essentials,When will delivery be if I order today?,0,The user is inquiring about the delivery time if they were to place an order today.
bigbosswarehouse,Daily Essentials,received my 1 mystery item ordered 20 amazing value,0,"The user is expressing excitement and satisfaction with the mystery item they ordered, emphasizing its value and positive experience."
bigbosswarehouse,Daily Essentials,are you doing pillows today aswell?,1,The user is inquiring if the seller will also be showcasing pillows during the live stream.
bigbosswarehouse,Daily Essentials,Hey Sam i just received an email my order is cancelled!!!,0,The user is expressing disappointment and frustration over receiving an email informing them that their order has been cancelled.
bigbosswarehouse,Daily Essentials,people can see how many orders he has to pack delivery will take as long as it takes,0,"The user is likely expressing curiosity and interest in the delivery process and how long it will take, possibly indicating a willingness to make a purchase based on the packing and delivery situation."
bigbosswarehouse,Daily Essentials,thank you,0,The user is expressing gratitude or appreciation for something mentioned or shown during the live stream.
bigbosswarehouse,Daily Essentials,Can you pin the Greek throws please,0,The user is likely expressing interest in seeing the Greek throws pinned on the screen during the live stream.
bigbosswarehouse,Daily Essentials,Ordered,0,The user is expressing their intention to make a purchase.
bigbosswarehouse,Daily Essentials,I love minex,1,"The user is likely expressing their enthusiasm and admiration for the product ""minex"" mentioned in the live stream."
bigbosswarehouse,Daily Essentials,Can I see the other colours?,1,The user is likely expressing interest in seeing the other color options available for a product.
bigbosswarehouse,Daily Essentials,Thanks for showing,0,The user likely expressed gratitude for the product or service being showcased in the live stream.
bigbosswarehouse,Daily Essentials,my son loves his sam,0,"The user is likely expressing their admiration and affection for a product called ""sam,"" possibly indicating interest or intention to make a purchase."
bigbosswarehouse,Daily Essentials,thank you,0,The user is expressing gratitude for the content or products shown during the live stream.
bigbosswarehouse,Daily Essentials,my 2 king size greek pattern throws arrived and are brilliant,0,The user is expressing satisfaction and excitement about receiving their two king size Greek pattern throws and finding them to be excellent quality.
bigbosswarehouse,Daily Essentials,I want one of these but do I need it?,0,"The user is expressing a desire for the product, but they are unsure if they actually need it."
bigbosswarehouse,Daily Essentials,received my pillows love them,0,The user seems to be expressing satisfaction and approval with the pillows they received from the live stream.
bigbosswarehouse,Daily Essentials,the ritual bath sets I was talking about,1,The user is likely interested in the bath sets that were mentioned and is considering purchasing them.
bigbosswarehouse,Daily Essentials,Please can I see Greek throw,1,The user is likely expressing interest in seeing the Greek throw being featured in the live stream.
bigbosswarehouse,Daily Essentials,"just ordered 4, is it possible to have a variety please",1,The user is asking for a variety of products because they have just ordered 4 items and would like some diversity in their purchase.
bigbosswarehouse,Daily Essentials,I got mine yesterday with the heat lamp for out side,0,The user is expressing interest in a product they purchased recently and discussing their satisfaction with the purchase.
bigbosswarehouse,Daily Essentials,Have you shown the throws ?,0,The user is inquiring about whether the throws have been showcased during the live stream.
bigbosswarehouse,Daily Essentials,Great quality item.,1,The user is expressing their satisfaction with the quality of the item being discussed in the live stream.
bigbosswarehouse,Daily Essentials,Throws please,0,The user is asking for the Greek throws to be highlighted or shown in the livestream.
bigbosswarehouse,Daily Essentials,"got my pillows yesterday, really lovely. thankyou",0,The user is expressing satisfaction and gratitude for receiving their pillows and finding them to be lovely.
bigbosswarehouse,Daily Essentials,How good are they,1,The user is likely inquiring about the quality or performance of the products being discussed in the live stream.
bigbosswarehouse,Daily Essentials,Just making more ice cream thanks to big boss,0,"The user is expressing their excitement about making more ice cream, possibly inspired by their boss' support or approval."
bigbosswarehouse,Daily Essentials,Can you show the other colours in throws please,1,The user is interested in seeing the other colors available for the throws.
bigbosswarehouse,Daily Essentials,Them boxes behind you are giving me anxiety,0,The user is expressing a feeling of stress or discomfort caused by the presence of the boxes behind the host during the live stream.
bigbosswarehouse,Daily Essentials,Big one all stacked up,0,The user is expressing interest in purchasing a large quantity of a certain item.
bigbosswarehouse,Daily Essentials,By the white tent,0,The user is probably interested in seeing the other color options available for the product being showcased in the live stream.
bigbosswarehouse,Daily Essentials,"These are really loud, well worth the money!!",1,The user is expressing satisfaction with the product and believes it is worth the money.
bigbosswarehouse,Daily Essentials,where is the link,1,The user is likely expressing a desire to find the link to purchase the products being discussed in the live stream.
bigbosswarehouse,Daily Essentials,Do they have radio ?,1,The user may be asking if the company sells radios.
bigbosswarehouse,Daily Essentials,Amazing,0,The user is expressing admiration or enthusiasm for something they are seeing or experiencing during the live stream.
bigbosswarehouse,Daily Essentials,Got one for the other half for work,0,The user is expressing interest in purchasing an item for their partner to use at work.
bigbosswarehouse,Daily Essentials,Where are you based?,0,The user is likely asking for the location or origin of the products being shown in the live stream.
bigbosswarehouse,Daily Essentials,what tog is the duvet please,1,The user is inquiring about the tog rating of the duvet.
bigbosswarehouse,Daily Essentials,got one,0,The user is likely expressing their excitement and satisfaction in successfully purchasing an item during the live stream.
bigbosswarehouse,Daily Essentials,How much are the throws,1,The user is interested in knowing the price of the throws.
bigbosswarehouse,Daily Essentials,Got it amazing thank you,0,The user is expressing gratitude and excitement for something they have acquired or experienced during the live stream.
bigbosswarehouse,Daily Essentials,fab Ty,1,"The user is expressing their interest in purchasing a product called ""fab Ty""."
bigbosswarehouse,Daily Essentials,GOT ONE  YEAH,0,The user is expressing excitement and satisfaction about successfully purchasing an item during the live stream.
bigbosswarehouse,Daily Essentials,can I see the speaker please,0,The user is likely interested in seeing the speaker on camera during the live stream.
bigbosswarehouse,Daily Essentials,got.2.speakers,0,The user is interested in purchasing a set of speakers.
bigbosswarehouse,Daily Essentials,ordered,0,The user is indicating that they have made a purchase.
bigbosswarehouse,Daily Essentials,"Show the throws please, the colours",1,The user is interested in seeing the different colors of the throws being displayed during the live stream.
bigbosswarehouse,Daily Essentials,Got 1  + paid 2 fidgets,0,The user is expressing their interest in purchasing two fidgets after already acquiring one.
bigbosswarehouse,Daily Essentials,do u have any of the garden speakers,1,"The user is inquiring about the availability of garden speakers, indicating potential interest in purchasing them."
bigbosswarehouse,Daily Essentials,How order,1,The user is likely inquiring about how to place an order for the products being showcased in the live stream.
