live_id,species,content,label,background
Jing1000086,服饰鞋履,搭16号的可以搭不,1,该用户可能在询问某款商品是否适合与16号尺码的款式搭配使用或组合购买。
Jing1000086,服饰鞋履,美背美背美背美背美背美背,1,该用户可能在强烈表达对直播中展示的“美背”款式商品的喜爱或购买意愿。
Jing1000086,服饰鞋履,裙子几层?,1,该用户想询问裙子的层数设计是否适合搭配特定款式或场合。
Jing1000086,服饰鞋履,黄黑皮适合什么颜色,1,该用户可能在询问适合自己肤色（黄黑皮）的服装或化妆品颜色推荐。
Jing1000086,服饰鞋履,不是上美背吗,0,该用户是在询问为什么还没有上架之前提到的美背款式产品。
Jing1000086,服饰鞋履,美背还有多久上,0,该用户急切询问主播何时开始展示或售卖美背款式的产品。
Jing1000086,服饰鞋履,上衣没有了,0,该用户想表达的含义是：询问主播之前展示的上衣款式是否已经售罄。
Jing1000086,服饰鞋履,刚才牛仔裤,1,该用户想询问之前展示过的牛仔裤何时会再次介绍或上架。
Jing1000086,服饰鞋履,上衣穿的什么长度,1,该用户想询问主播身上所穿上衣的具体衣长尺寸或版型长短。
Jing1000086,服饰鞋履,短皮衣,1,该用户可能在询问主播展示的短款皮衣的相关信息或表达对这款商品的兴趣。
Jing1000086,服饰鞋履,防晒霜今晚上不,1,该用户是在询问今晚是否会售卖防晒霜产品。
Jing1000086,服饰鞋履,刚才不破洞牛仔裤,0,该用户是在询问或确认之前展示过的那款不破洞牛仔裤的相关信息。
Jing1000086,服饰鞋履,"先上美背,要洗澡了[捂脸]",1,该用户是在催促主播尽快上架美背产品，并表示自己因为要洗澡准备离开直播间，所以有些着急。
Jing1000086,服饰鞋履,上衣没有小个小版吗,1,该用户是在询问上衣是否有适合小个子的尺码版本。
Jing1000086,服饰鞋履,短皮衣短皮衣短皮衣,1,该用户急切希望主播尽快展示或介绍短款皮衣这款商品。
Jing1000086,服饰鞋履,防晒衣,1,该用户可能在询问直播间是否会售卖或展示防晒衣产品。
Jing1000086,服饰鞋履,白色裙子还能上吗,1,该用户是在询问白色款裙子是否会再次补货或重新上架销售。
Jing1000086,服饰鞋履,今晚上防晒霜不,1,该用户是在询问今晚的直播是否会售卖防晒霜产品。
Jing1000086,服饰鞋履,上衣小个子的没有买到,1,该用户想表达的含义是：小个子尺码的上衣已经售罄，自己没能抢到。
Jing1000086,服饰鞋履,"多上点裙子吧,欣姐",1,该用户希望主播能增加裙子的款式或库存，以满足自己的购买需求。
Jing1000086,服饰鞋履,短皮衣短皮衣短皮衣短皮衣,1,该用户急切希望主播尽快展示或上架短款皮衣，可能是因之前有人提到但未及时推出而产生催促心理。
Jing1000086,服饰鞋履,上衣加点,1,该用户是在催促主播尽快上架或补充更多款式的上衣商品。
Jing1000086,服饰鞋履,美背发福利[比心][比心],0,该用户是在催促主播尽快展示或上架美背款式产品，并表达期待和喜爱之情。
Jing1000086,服饰鞋履,有没有短裤,1,该用户是在询问直播间是否有短裤类商品正在或即将展示售卖。
Jing1000086,服饰鞋履,身上的牛仔裤有弹力吗,1,该用户是在询问主播展示的牛仔裤是否具备弹性材质，以判断其穿着舒适度和实用性。
Jing1000086,服饰鞋履,矮个子上衣加一点,1,该用户希望主播为小个子体型多提供一些上衣款式或增加库存。
Jing1000086,服饰鞋履,好好看裤子,1,该用户想表达的含义是：对直播中展示的裤子款式表示赞赏并流露出购买意向。
Jing1000086,服饰鞋履,上衣没有,1,该用户想表达的含义是：当前展示的上衣款式或尺码不符合自己的需求，希望主播能补充其他选择。
Jing1000086,服饰鞋履,短皮衣短皮衣,1,该用户急切希望主播展示或推荐短款皮衣这款商品。
Jing1000086,服饰鞋履,想裤子,1,该用户想表达的是对直播中展示的裤子款式产生了购买兴趣，希望主播详细介绍或上架相关商品。
Jing1000086,服饰鞋履,呢种修身的防晒衣会不会上,1,该用户是在询问直播间是否会推出修身款式的防晒衣。
Jing1000086,服饰鞋履,裤子是微喇还是直筒?,1,该用户想确认当前展示的裤子具体是微喇裤型还是直筒裤型，以便根据个人偏好决定是否购买。
Jing1000086,服饰鞋履,"欣姐,给我们上款马甲呗",1,该用户希望主播推荐或上新一款马甲服饰。
Jing1000086,服饰鞋履,有白色腰带吗,1,该用户是在询问直播间是否售卖与当前展示商品配套的白色腰带款式。
Jing1000086,服饰鞋履,想要短裤,1,该用户是在询问直播间是否会售卖短裤款式，并表达了自己对这类商品的购买意愿。
Jing1000086,服饰鞋履,好美好美,0,该用户想表达的含义是：对主播当前展示的服装款式或穿搭效果表示强烈的欣赏和喜爱。  （结合前文弹幕多为对具体商品的询问和需求，此处的“好美好美”更可能是针对主播实时展示的某件商品或整体搭配发出的赞叹，隐含潜在购买兴趣。）
Jing1000086,服饰鞋履,是直筒吗,1,该用户是在询问当前展示的裤子款式是否为直筒裤。
Jing1000086,服饰鞋履,对喜欢这个,1,该用户想表达的是对当前直播展示的某款商品产生了明确的兴趣和喜爱。
Jing1000086,服饰鞋履,腿粗的有吗,1,该用户是在询问直播间是否有适合腿粗人群的服装款式。
Jing1000086,服饰鞋履,有没有弹力,1,该用户可能在询问当前展示的服装是否具有弹性面料特性。
Jing1000086,服饰鞋履,有弹力吗,1,该用户是在询问商品（可能是裤子或上衣）的面料是否具备伸缩性，以便判断穿着的舒适度和合身程度。
Jing1000086,服饰鞋履,碎花连衣裙有吗,1,该用户是在询问直播间是否售卖碎花连衣裙这一款式。
Jing1000086,服饰鞋履,裤子是高腰吗,1,该用户想询问裤子的版型是否属于高腰设计，以判断是否符合自己的穿着需求或偏好。
Jing1000086,服饰鞋履,有没有小个子穿的裤子?????,1,该用户想询问是否有适合身高较矮人群的裤装款式。
Jing1000086,服饰鞋履,能搭配黄色短袖不,1,该用户是在询问当前展示的商品是否能与黄色短袖进行搭配。
Jing1000086,服饰鞋履,破洞的还上吗?,1,该用户是在询问之前展示过的破洞款式商品是否会再次补货或上架。
Jing1000086,服饰鞋履,裤子什么时候上?,1,该用户是在询问主播何时会推出或展示裤子的商品链接。
Jing1000086,服饰鞋履,胖纸能穿吗,1,该用户是在询问当前展示的服装款式是否适合体型偏胖的人穿着。
Jing1000086,服饰鞋履,上衣没有了,1,该用户想表达的含义是：询问主播是否还有同款上衣的库存或是否会补货。
Jing1000086,服饰鞋履,弹力有吗,1,该用户是在询问商品是否具备弹性材质或伸缩性能。
Jing1000086,服饰鞋履,有白色腰带,0,该用户是在询问当前展示的商品是否有白色款式的腰带配件。
Jing1000086,服饰鞋履,"我买了,很好穿",0,该用户想表达的含义是：自己已经购买了直播间的某款产品，并且对实际穿着效果感到满意。  （结合前文弹幕高频关注裤子版型、弹力、尺码等细节，可推测用户购买的可能是裤子类商品，且实际体验符合甚至超出预期，从而主动分享正面反馈以强化直播间信任氛围。）
