live_id,species,content,label,background
popmart.uslocalshop, Toy & Handicraft,I GOT THE SET OMG,0,The user is excitedly announcing they've successfully purchased the product set.
popmart.uslocalshop, Toy & Handicraft,Againnn,0,"The user is excitedly asking for the product to be shown or restocked again, likely inspired by the previous viewer's purchase."
popmart.uslocalshop, Toy & Handicraft,HOW DO YOU GUYS GET THEM SO FAST,0,The user is surprised and curious about how others received their orders so quickly after seeing someone else already got the set.
popmart.uslocalshop, Toy & Handicraft,Not fair,0,"The user likely feels frustrated or left out, expressing that it's unfair others got the products quickly while they couldn't."
popmart.uslocalshop, Toy & Handicraft,Worst live,0,"The user is expressing frustration about the live stream's quality or fairness, likely feeling disappointed or excluded compared to others' positive experiences."
popmart.uslocalshop, Toy & Handicraft,Do it again,0,The user likely wants the host to repeat a popular or sold-out item due to high demand and frustration over missing out.
popmart.uslocalshop, Toy & Handicraft,I was on the listing and never turned on!!!,0,"The user is frustrated because they couldn't access the product page despite trying, while others successfully purchased items during the live stream."
popmart.uslocalshop, Toy & Handicraft,Is a waist of time,0,"The user likely means ""This live stream is not worth watching"" due to frustration with the event's quality or fairness."
popmart.uslocalshop, Toy & Handicraft,Booo,0,"The user is expressing frustration or disappointment with the live stream, likely due to missing out on a purchase or poor experience."
popmart.uslocalshop, Toy & Handicraft,hello,0,"The user is likely greeting casually without strong purchase intent, mirroring the mixed sentiment of excitement and frustration in previous chats."
popmart.uslocalshop, Toy & Handicraft,This is a lie,0,"The user likely believes the product or promotion is misleading or false, expressing skepticism based on others' complaints about unfairness and wasted time."
popmart.uslocalshop, Toy & Handicraft,How long do they take to ship out?,0,"The user is likely interested in purchasing but concerned about shipping speed, possibly due to others receiving items quickly or past delays mentioned in the chat."
popmart.uslocalshop, Toy & Handicraft,next time dont share yall,0,"The user is expressing frustration and disinterest, suggesting they won’t participate in future similar sales events due to perceived unfairness or poor experience."
popmart.uslocalshop, Toy & Handicraft,Bring back the Coca Cola labubu,1,"The user is frustrated with limited-edition drops and demands a restock of the sold-out Coca Cola Labubu product, echoing the audience's dissatisfaction with the unfair purchasing process."
popmart.uslocalshop, Toy & Handicraft,Just do preorders,0,The user is frustrated with the current process and suggests opening preorders to avoid the rush and unfairness in securing items.
popmart.uslocalshop, Toy & Handicraft,I got like 5,0,"The user likely means they managed to purchase five items, expressing excitement amidst others' complaints about stock issues."
popmart.uslocalshop, Toy & Handicraft,Are you going to do it again ???,0,"The user is eagerly asking if the seller will restock or repeat the promotion, likely due to missing out on a popular item mentioned in previous chats."
popmart.uslocalshop, Toy & Handicraft,how,0,"The user is likely expressing disbelief or frustration about how quickly others managed to purchase the items, similar to earlier comments questioning the speed of acquisitions."
popmart.uslocalshop, Toy & Handicraft,My first time !!!,0,"The user is excitedly expressing their first-time participation in the live shopping event, likely intrigued by the product hype from previous comments."
popmart.uslocalshop, Toy & Handicraft,Yessss!!!!,0,The user is excitedly celebrating a successful purchase or a highly anticipated moment in the live stream.
popmart.uslocalshop, Toy & Handicraft,Im done with this,0,The user likely means they're frustrated and giving up on trying to purchase due to the chaotic sell-out situation mentioned in previous messages.
popmart.uslocalshop, Toy & Handicraft,Unbelievable,0,The user likely expresses shock or sarcastic disbelief at the chaotic or disappointing shopping experience in the live stream.
popmart.uslocalshop, Toy & Handicraft,IM TIRED IF LAZY YOGA,0,The user is frustrated and expressing exhaustion from the slow or ineffective yoga-related product promotions in the livestream.
popmart.uslocalshop, Toy & Handicraft,Got a set,0,"The user likely means they successfully purchased a set of the product being sold, expressing satisfaction or accomplishment."
popmart.uslocalshop, Toy & Handicraft,Againnnn,0,The user is likely expressing enthusiasm and a desire for the host to repeat or continue the current activity or offer.
popmart.uslocalshop, Toy & Handicraft,AGAIN,0,"The user is likely urging the host to repeat or bring back a previous offer or activity, echoing others' requests for another chance or restock."
popmart.uslocalshop, Toy & Handicraft,anyone who shares the live ur moms a ho3,0,"The user is likely expressing frustration and mocking the live stream by sarcastically insulting those who shared it, implying the content isn't worth promoting."
popmart.uslocalshop, Toy & Handicraft,This is rigged,0,"The user likely believes the live stream is unfairly manipulated or dishonest, expressing frustration similar to previous negative comments about the event's legitimacy."
popmart.uslocalshop, Toy & Handicraft,are you goung yo release have a sear?,0,"The user is likely asking if there will be a future restock or release of a sold-out product, possibly referencing previous limited drops mentioned in earlier chats."
popmart.uslocalshop, Toy & Handicraft,Coca cola pendent?,1,"The user is likely asking if a Coca-Cola-themed pendant will be available for purchase, possibly referencing a previously mentioned or shown item."
popmart.uslocalshop, Toy & Handicraft,I give up,0,"The user likely expresses frustration or resignation, possibly due to disappointment with the product availability, event mechanics, or perceived unfairness in the ongoing livestream."
popmart.uslocalshop, Toy & Handicraft,Yall ruin everything,0,"The user is frustrated and blames the streamers or community for spoiling the experience, likely due to mismanagement or unmet expectations in the event."
popmart.uslocalshop, Toy & Handicraft,Oh man.,0,"The user likely expresses frustration or disappointment with the current situation in the livestream, possibly due to limited stock or unfair practices."
popmart.uslocalshop, Toy & Handicraft,No one care,0,"The user is expressing frustration or indifference, likely feeling ignored or that their concerns aren't being addressed in the chaotic stream."
popmart.uslocalshop, Toy & Handicraft,All they have is lay hogs nothing else,0,"The user is frustrated and implying the products offered are limited or unvaried, possibly criticizing the lack of diversity in the items available."
popmart.uslocalshop, Toy & Handicraft,We want the new ones,0,The user is expressing interest in wanting the latest products or items being offered in the live stream.
popmart.uslocalshop, Toy & Handicraft,King??,0,"The user is likely questioning the credibility or authenticity of the current promotion, possibly implying skepticism about the ""King"" title or offer being genuine."
popmart.uslocalshop, Toy & Handicraft,Yall so unorganized,0,"The user is frustrated with the chaotic and disorganized nature of the live stream, likely due to repeated issues or poor management."
popmart.uslocalshop, Toy & Handicraft,demon slayer blind boxes?,1,The user is likely inquiring if the live stream will offer Demon Slayer-themed blind box merchandise for purchase.
popmart.uslocalshop, Toy & Handicraft,No one want,0,"The user likely means ""Nobody is interested in this product or content,"" expressing frustration or disengagement with the current offerings."
popmart.uslocalshop, Toy & Handicraft,No one cares about these,0,"The user is expressing frustration and disinterest, likely feeling that the products or content being shown are unimportant or irrelevant to the audience."
popmart.uslocalshop, Toy & Handicraft,They sold out in one second,0,"The user is expressing frustration that the desired items sold out extremely quickly, likely due to high demand or poor stock management."
popmart.uslocalshop, Toy & Handicraft,Sell out less than a second,0,"The user is sarcastically complaining that the items sold out too quickly, implying frustration with the limited availability or poor organization of the sale."
popmart.uslocalshop, Toy & Handicraft,Will you guys have the Mickey Family Cute Together keychains?,1,"The user is inquiring about the availability of the Mickey Family keychains, showing genuine interest in purchasing them despite the chaotic chat atmosphere."
popmart.uslocalshop, Toy & Handicraft,No chance at all,0,"The user is expressing frustration and disbelief about the extremely low chances of securing sold-out items, implying they feel the giveaway or sale is unfair or impossible to win."
popmart.uslocalshop, Toy & Handicraft,Where does this one ship from?,0,"The user is likely inquiring about the shipping origin of a product they're interested in, possibly due to concerns about delivery time or availability."
popmart.uslocalshop, Toy & Handicraft,Can you hang these on bags,1,"The user is likely inquiring if the showcased products (possibly keychains or pendants) can be attached to bags, expressing practical interest amid the chaotic chat about limited stock and unpopular items."
popmart.uslocalshop, Toy & Handicraft,No one wants it,0,"The user is expressing frustration that the product being offered is unpopular or undesirable, likely due to previous disappointment with limited stock or unappealing items."
popmart.uslocalshop, Toy & Handicraft,are they sold out for the night?,0,The user is likely asking if the product they're interested in is no longer available for purchase during the current live stream.
popmart.uslocalshop, Toy & Handicraft,She sux,0,"The user is expressing frustration, likely implying that the host or product is disappointing or performing poorly."
popmart.uslocalshop, Toy & Handicraft,I got one,0,"The user likely means ""I managed to purchase one despite the high demand."""
popmart.uslocalshop, Toy & Handicraft,omfg come on,0,"The user is likely expressing frustration or disbelief about the fast sell-out or lack of desired items, mirroring the negative tone in previous messages."
popmart.uslocalshop, Toy & Handicraft,All yall sharing the live are snitches,0,"The user is expressing frustration towards those sharing the live stream, implying they're ruining chances for others by increasing competition for limited products."
popmart.uslocalshop, Toy & Handicraft,Took my payment and everything and nothing,0,"The user is frustrated that they completed the payment but received nothing, likely due to items selling out instantly, echoing the直播间's stock issues and disorganization."
popmart.uslocalshop, Toy & Handicraft,so tired fighting for my life to get this little guy PLEASE,0,The user is desperately pleading to purchase the item after struggling due to high demand and quick sell-outs.
popmart.uslocalshop, Toy & Handicraft,How many sets are left for the BIE?,1,"The user is inquiring about the remaining stock of the BIE set, showing genuine interest in purchasing it before it sells out."
popmart.uslocalshop, Toy & Handicraft,It keeps kicking my card out??,0,The user is frustrated because their payment keeps getting declined or the system isn't accepting their card during checkout.
popmart.uslocalshop, Toy & Handicraft,I was about to pay and then it sold out :(,0,The user expresses frustration over missing the purchase due to the item selling out right as they were completing payment.
popmart.uslocalshop, Toy & Handicraft,i was so close  I clicked on a notification right before checkout,0,"The user is frustrated because they almost completed the purchase but got interrupted by a notification, likely missing out on the limited-time offer like others mentioned."
popmart.uslocalshop, Toy & Handicraft,Why did it ask me to change address??!!,0,"The user is frustrated because the system unexpectedly prompted them to change their shipping address during checkout, likely after they thought they'd secured the item."
popmart.uslocalshop, Toy & Handicraft,I love it when she calls me bay bee,0,The user is likely mocking the chaotic and frustrating shopping experience by sarcastically referencing a playful but irrelevant moment in the stream.
popmart.uslocalshop, Toy & Handicraft,everytime I get it In my cart it glitches and kicks me out,0,"The user is frustrated because the website keeps malfunctioning when they try to proceed to checkout, preventing them from completing their purchase."
popmart.uslocalshop, Toy & Handicraft,I only want two for me and my mom,0,"The user is expressing a desire to purchase two items, one for themselves and one for their mother, likely feeling hopeful or determined amid the competitive purchasing environment."
popmart.uslocalshop, Toy & Handicraft,Omg I got 1 box finally !!,0,The user is excitedly expressing their relief and joy after successfully purchasing a highly sought-after item that many others failed to get due to limited stock or technical issues.
popmart.uslocalshop, Toy & Handicraft,Yall sharing ruined it,0,"The user is frustrated that others sharing the直播 link caused the product to sell out too quickly, making it harder for them to purchase."
popmart.uslocalshop, Toy & Handicraft,seriously,0,The user likely expresses frustration or disbelief about the chaotic purchasing process or the product's availability issues.
popmart.uslocalshop, Toy & Handicraft,it froze,0,"The user likely means ""The website/app froze during checkout, preventing me from completing my purchase."""
popmart.uslocalshop, Toy & Handicraft,Brrroooooooooooo,0,"The user is likely expressing frustration or disbelief about the difficulty of purchasing the item, similar to others' struggles with checkout issues and limited stock."
popmart.uslocalshop, Toy & Handicraft,bro it was in my cart,0,"The user is frustrated because they had the item in their cart but likely encountered technical issues or it sold out before checkout, similar to others' experiences in the chat."
popmart.uslocalshop, Toy & Handicraft,I GOT ONEEEEE,0,The user is excitedly announcing they successfully purchased the item after witnessing others' struggles with checkout issues and limited stock.
popmart.uslocalshop, Toy & Handicraft,Whattttttt noooo,0,"The user is likely expressing frustration and disbelief over missing out on a purchase due to high demand or technical issues, similar to others in the chat."
popmart.uslocalshop, Toy & Handicraft,Got one!!,0,The user is excitedly confirming they successfully purchased the item after witnessing others' struggles with checkout issues and limited stock.
popmart.uslocalshop, Toy & Handicraft,BRO HOW,0,"The user is likely expressing frustration or disbelief about the purchasing process, similar to others struggling with checkout issues or items selling out."
popmart.uslocalshop, Toy & Handicraft,I FINALLY GOT ONE,0,The user is excitedly announcing their successful purchase after struggling with technical issues and limited stock like others in the chat.
popmart.uslocalshop, Toy & Handicraft,Nooo :(,0,"The user is expressing disappointment over missing out on purchasing the item, likely due to it selling out or a checkout issue, similar to others' frustrations in the chat."
popmart.uslocalshop, Toy & Handicraft,Yall only but one is stock or what???!,0,"The user is frustrated and questioning if only one item is left in stock, given the previous complaints about limited availability and checkout issues."
popmart.uslocalshop, Toy & Handicraft,It always load,0,"The user is frustrated because the website or app keeps crashing or loading slowly during checkout, preventing them from completing their purchase."
