live_id,species,content,label,background
shisan66,生鲜水果,是冰水蒸吗,1,该用户可能在询问直播中展示的产品是否采用了冷水蒸煮的工艺或技术。
shisan66,生鲜水果,有奶酪棒吗,1,该用户可能在询问直播间是否有售卖奶酪棒这一商品。
shisan66,生鲜水果,是冷水蒸吗,1,该用户可能在询问产品使用时是否需要使用冷水或冰水进行蒸制操作。
shisan66,生鲜水果,截屏了,0,该用户想表达的是对直播中展示的商品或促销信息感兴趣，打算保存下来以便后续参考或购买。
shisan66,生鲜水果,水开后在上锅蒸啊,0,该用户是在提醒主播或观众正确的蒸制步骤，强调应该等水烧开后再将食物上锅蒸。
shisan66,生鲜水果,什么时候能发货,0,该用户想确认商品下单后的具体发货时间，表现出对购买流程的后续关注和潜在的成交意向。
shisan66,生鲜水果,截图了,0,该用户想表达的是：我保存了商品信息以便后续购买。
shisan66,生鲜水果,孕妇可以吃吗,1,该用户是在询问该产品是否适合孕妇食用。
shisan66,生鲜水果,大概有几个,1,该用户想询问商品的数量或规格选项。
shisan66,生鲜水果,多久发货,0,该用户想询问商品下单后的具体发货时间。
shisan66,生鲜水果,大概几个,1,该用户想询问产品包装内具体包含的数量。
shisan66,生鲜水果,直接这样吃吗,1,该用户可能是在询问产品的食用方式是否需要进一步处理或直接开袋即食。
shisan66,生鲜水果,有几个,1,该用户想询问商品的具体数量或包装规格。
shisan66,生鲜水果,多久发货,0,该用户想询问商品下单后的具体发货时间。
shisan66,生鲜水果,"你看你后面那个女的,吃的龇牙咧嘴",0,该用户可能是在吐槽直播画面中其他人的不雅吃相，试图通过调侃活跃气氛或引起主播注意，而非表达对商品的购买兴趣。
shisan66,生鲜水果,这是生的吗,0,该用户可能是在询问直播中展示的商品是否需要进一步加工烹饪才能食用。
shisan66,生鲜水果,几天发货,0,该用户想询问商品下单后的预计发货时间。
shisan66,生鲜水果,几天发货呀,0,该用户想询问商品下单后的具体发货时间，表现出对购买后物流效率的关切。
shisan66,生鲜水果,蒸多久,1,该用户想询问蒸制该食品所需的时长。
shisan66,生鲜水果,你的口水我吃,0,该用户可能是在调侃或表达对直播中展示食物的强烈兴趣，暗示自己馋到愿意尝试主播的口水（夸张说法）。  （结合前文语境：弹幕多为关于食品细节、发货、食用方式的提问，整体氛围偏向对产品的关注和互动。此类夸张表述更可能是用幽默方式参与讨论，而非实际购买意向。）
shisan66,生鲜水果,什么时候卖玉菇,1,该用户想询问直播中提到的“玉菇”商品的具体上架销售时间。
shisan66,生鲜水果,回来好开口吗,1,该用户可能是在询问产品是否适合作为礼物或再次购买时是否容易向他人解释或推荐。
shisan66,生鲜水果,什么时候能发货,0,该用户想表达的含义是：询问商品的配送时间以确认购买后的收货安排。
shisan66,生鲜水果,蒸多久,1,该用户是在询问商品（可能是食品）需要蒸制多长时间才能食用。
shisan66,生鲜水果,发什么快递,0,该用户想询问商品配送所使用的快递公司或物流方式。
shisan66,生鲜水果,十斤几个,1,该用户想询问十斤装的商品大约包含多少个独立个体。
shisan66,生鲜水果,大概有几个啊,1,该用户是在询问产品（可能是水果或生鲜）的规格数量，比如“十斤大概包含多少个”。
shisan66,生鲜水果,大概几个,1,该用户想询问产品（可能是水果或生鲜）一箱或一份的大致数量。
shisan66,生鲜水果,有蘸的酱吗,1,该用户想询问产品是否附带蘸酱调料。
shisan66,生鲜水果,十斤几个,1,该用户想询问十斤装的商品大概包含多少个独立个体。
shisan66,生鲜水果,蒸多久,1,该用户想询问蒸制该产品所需的具体时间。
shisan66,生鲜水果,那叫摇住吧,0,该用户可能是在询问或确认主播提到的某种产品（如水果）的俗称或叫法，比如“摇住”可能是某种方言或特定称呼。
shisan66,生鲜水果,有虾吗,1,该用户是在询问直播中是否有售卖虾类产品。
shisan66,生鲜水果,十斤大概几个,1,该用户想询问十斤装的产品大约包含多少个单件。
