live_id,species,content,label,background
theluxuryhousesale,Apparel & Footwear,"I go out for drinks, since it be on weekends",0,"The user is casually mentioning their weekend plans to go out for drinks, unrelated to the live stream's product or purchase intent."
theluxuryhousesale,Apparel & Footwear,"Thinking thru.. will let u know if i wanna buy, thanks",0,"The user is considering the purchase but needs more time to decide, politely indicating they'll inform the seller later if interested."
theluxuryhousesale,Apparel & Footwear,Am confused between ON the go or Dior totes,1,The user is comparing two luxury tote options (ON the go and Dior) and expressing indecision about which one to purchase.
theluxuryhousesale,Apparel & Footwear,Hope you are doing well,0,"The user is likely checking in politely before possibly asking for advice or making a purchase decision, maintaining friendly engagement with the host."
theluxuryhousesale,Apparel & Footwear,what the red bag is gucci ?,1,"The user is likely asking if the red bag being shown is from the Gucci brand, expressing curiosity about the product's designer."
theluxuryhousesale,Apparel & Footwear,yes that one,0,The user is confirming their interest in purchasing the red Gucci bag mentioned earlier.
theluxuryhousesale,Apparel & Footwear,that is niceee,0,"The user is expressing admiration for a product, likely the red Gucci bag or the one mentioned before, showing interest in purchasing it."
theluxuryhousesale,Apparel & Footwear,they all for women tho,0,"The user is expressing disappointment that the showcased products are all for women, implying they were hoping for men's options."
theluxuryhousesale,Apparel & Footwear,yall got mens designer,1,"The user is asking if the store carries high-end fashion items for men, as they noticed the current products are mostly for women."
theluxuryhousesale,Apparel & Footwear,okay ima check it out,0,"The user is showing tentative interest in exploring the mentioned products further, likely influenced by the ongoing discussion about designer bags."
theluxuryhousesale,Apparel & Footwear,Sweetdreams Mimi and Seeya! Be safe. Get rest and enjoy your off day. Seeya Wednesday,0,"The user is expressing friendly farewell wishes to the host, likely a regular viewer acknowledging the stream's end while referencing the next scheduled broadcast."
theluxuryhousesale,Apparel & Footwear,yeah nice stuff,0,"The user is expressing admiration for the products shown, likely indicating interest in purchasing one of them."
theluxuryhousesale,Apparel & Footwear,Mimi your so silly,0,"The user is playfully teasing Mimi in a friendly manner, likely responding to her humorous or lighthearted behavior during the直播."
theluxuryhousesale,Apparel & Footwear,Yessss hahahahah,0,The user is likely expressing enthusiastic agreement or excitement about a product or comment mentioned in the live stream.
theluxuryhousesale,Apparel & Footwear,Ok thanks for showing..,0,"The user is politely acknowledging the product demonstration but shows no clear purchase intent, likely continuing casual engagement with the streamer."
theluxuryhousesale,Apparel & Footwear,I use this device 1 a month for 5 minutes is red light teraphy,0,"The user is sharing their limited usage experience with the red light therapy device, possibly questioning its value or effectiveness due to infrequent use."
theluxuryhousesale,Apparel & Footwear,Is really good,0,"The user likely means ""This product looks impressive and I'm considering purchasing it."""
theluxuryhousesale,Apparel & Footwear,Work perfectly,0,"The user likely means the product functions well based on their experience, possibly referring to the red light therapy device mentioned earlier."
theluxuryhousesale,Apparel & Footwear,Yes,0,"The user likely agrees with or confirms a positive statement about a product mentioned earlier, possibly expressing interest or approval."
theluxuryhousesale,Apparel & Footwear,In model,0,The user is likely asking if the product being shown is the same as the one worn by the model in the display.
theluxuryhousesale,Apparel & Footwear,5 min a month,0,The user is likely stating they only use the red light therapy device briefly once a month.
theluxuryhousesale,Apparel & Footwear,Thank you love,0,"The user is likely expressing gratitude and appreciation for the host's presentation or the products shown, without explicitly stating purchase intent."
theluxuryhousesale,Apparel & Footwear,Hahahahah,0,"The user is likely expressing amusement or agreement in response to a lighthearted or funny moment in the直播, possibly echoing the playful tone of previous comments like ""Mimi your so silly."""
theluxuryhousesale,Apparel & Footwear,Good night,0,"The user is likely ending their participation in the live stream by bidding farewell in a friendly manner, similar to others wrapping up their interactions."
theluxuryhousesale,Apparel & Footwear,And thank you for everything,0,The user is expressing gratitude and appreciation for the content or products shown in the live stream.
theluxuryhousesale,Apparel & Footwear,How much for the on the go ?,1,"The user is inquiring about the price of the ""on the go"" product, showing genuine purchase interest after seeing the showcased items."
theluxuryhousesale,Apparel & Footwear,Yeah I want to go to the store so they can show me how to use directly. And get face products,0,"The user expresses interest in visiting the store for a product demonstration and purchasing facial items, indicating active buying intent."
theluxuryhousesale,Apparel & Footwear,Dust bag and box?,1,"The user is likely inquiring if the product comes with a dust bag and original packaging, indicating potential purchase interest in luxury goods."
theluxuryhousesale,Apparel & Footwear,I see. lol she makes it look relaxing using the face machine,0,The user finds the host's demonstration of the facial device appealing and humorously notes how effortless she makes it seem.
theluxuryhousesale,Apparel & Footwear,Which year?,0,The user is likely inquiring about the production or release year of the product being discussed in the live stream.
theluxuryhousesale,Apparel & Footwear,Omg,0,"The user is likely expressing excitement or surprise about a product or moment in the直播, possibly reacting to a demonstration or special offer."
theluxuryhousesale,Apparel & Footwear,No flaws??,1,"The user is likely expressing skepticism or seeking confirmation about the product's perfection, possibly doubting if it truly has no flaws."
theluxuryhousesale,Apparel & Footwear,Smile,0,"The user likely expresses amusement or agreement with the lighthearted tone of the conversation, possibly reacting to a funny moment in the stream."
theluxuryhousesale,Apparel & Footwear,I could take it for 350,0,"The user is likely negotiating the price, indicating they'd consider purchasing the item if it were priced at $350."
theluxuryhousesale,Apparel & Footwear,Love itttt,0,The user is expressing strong admiration and enthusiasm for the product being shown in the live stream.
theluxuryhousesale,Apparel & Footwear,How do I get the 100 off,1,The user is asking how to obtain a $100 discount on the product being discussed in the live stream.
theluxuryhousesale,Apparel & Footwear,I love it,1,"The user likely expresses strong admiration for the product being showcased, aligning with the positive sentiment and purchase interest shown in previous messages about quality and desirability."
theluxuryhousesale,Apparel & Footwear,It huge lol I love it,0,"The user is excitedly expressing strong admiration for a large product, likely in response to seeing it showcased or discussed in the live stream."
theluxuryhousesale,Apparel & Footwear,How much is Dior,1,"The user is inquiring about the price of a Dior product, likely prompted by previous discussions about pricing and product details in the chat."
theluxuryhousesale,Apparel & Footwear,I get paid Friday I hope you have it still than,0,The user is expressing hope that the item they're interested in will still be available when they get paid on Friday.
