live_id,species,content,label,background
bossupcosmetics,Beauty & Skincare,Does your grandpa still have a moving business??,0,"The user is likely inquiring if the seller's grandfather still operates a relocation service, possibly seeking to hire or reference the business."
bossupcosmetics,Beauty & Skincare,all time favorite product?,1,The user is likely asking if the product being discussed is a long-standing favorite or highly recommended by others.
bossupcosmetics,Beauty & Skincare,what helped you decide you wanted to start your own business?,0,"The user is curious about the inspiration or motivation behind starting the business, likely seeking personal insights from the host."
bossupcosmetics,Beauty & Skincare,When did you start your business,0,"The user is likely curious about the origin and background of the business, following the previous questions about its history and decision-making."
bossupcosmetics,Beauty & Skincare,That is amazing,0,The user is expressing admiration or enthusiasm about a product or business aspect mentioned in the previous conversation.
bossupcosmetics,Beauty & Skincare,Where can we find it girly,0,"The user is likely asking where to purchase the product mentioned in the conversation, showing genuine interest in buying it."
bossupcosmetics,Beauty & Skincare,Heyyy,0,"The user is likely greeting the streamer casually and showing engagement, possibly to ask a follow-up question or express interest in the conversation."
bossupcosmetics,Beauty & Skincare,Is this a playlist,0,The user is likely asking if the current discussion or product being shown is part of a curated series or collection.
bossupcosmetics,Beauty & Skincare,poor cow,0,The user likely feels sympathy for the cow (possibly a product source) and is expressing concern about its welfare in a lighthearted way.
bossupcosmetics,Beauty & Skincare,i want to start my own cosmetics business too one day,0,"The user admires the entrepreneur's journey and aspires to launch a similar beauty venture in the future, inspired by the business discussion."
bossupcosmetics,Beauty & Skincare,i was there for the como la flor pop up!!,0,"The user is expressing excitement about having attended a previous event related to the brand, showing familiarity and engagement with the business."
bossupcosmetics,Beauty & Skincare,If this a playlist,0,The user is likely asking if the current content or product being shown is part of a curated collection or series.
bossupcosmetics,Beauty & Skincare,you definitely see this,0,"The user likely means ""You obviously recognize or know about this product/business."" suggesting familiarity or shared knowledge."
bossupcosmetics,Beauty & Skincare,You look pretty,0,"The user is complimenting the host's appearance to engage positively, possibly to build rapport or show appreciation without direct purchase intent."
bossupcosmetics,Beauty & Skincare,u are so pretty.and u have a biutofull voice,0,The user is complimenting the host's appearance and voice without showing direct purchase interest.
bossupcosmetics,Beauty & Skincare,answer meeee,0,"The user is likely impatient for a response, possibly regarding a previous unanswered question about the business or products."
bossupcosmetics,Beauty & Skincare,Hi girlllll your so pretty,0,"The user is complimenting the host's appearance in a friendly and enthusiastic manner, likely aiming to engage positively with the streamer rather than expressing direct purchase intent."
bossupcosmetics,Beauty & Skincare,Beautiful  God Bless,0,"The user is likely complimenting the host's appearance or performance, expressing admiration in a positive and supportive manner."
bossupcosmetics,Beauty & Skincare,MEE TOOO,0,"The user likely means ""I also want to start my own business like you"" (echoing the cosmetics business comment), expressing shared entrepreneurial aspirations."
bossupcosmetics,Beauty & Skincare,ash tervino no.2 is you,0,"The user is likely expressing admiration or recognition, possibly referring to a product or person named ""Ash Tervino No.2"" in a positive or identifying manner."
bossupcosmetics,Beauty & Skincare,Beat,0,The user is likely asking if the background music is a playlist or referring to the beat of the song playing during the stream.
bossupcosmetics,Beauty & Skincare,What genre is thisssss,1,The user is likely asking about the category or style of the product being discussed in the live stream.
bossupcosmetics,Beauty & Skincare,Did you eat ur fried chicken and watermelon,0,"The user is likely making a playful or sarcastic comment referencing stereotypes, possibly to mock or provoke a reaction rather than expressing genuine interest in the products."
bossupcosmetics,Beauty & Skincare,So pretty whatttt,0,"The user is expressing strong admiration for the host's appearance, likely reacting to their outfit or makeup with enthusiastic surprise."
bossupcosmetics,Beauty & Skincare,How did it go yesterday,0,"The user is likely asking about the outcome or experience of a past event mentioned earlier in the stream, possibly referencing a product launch or live show."
bossupcosmetics,Beauty & Skincare,Good,0,"The user likely means ""I like this"" or ""This is nice,"" casually agreeing with or appreciating something in the stream without deeper engagement."
bossupcosmetics,Beauty & Skincare,Good rising beautiful happy Sunday,0,"The user is likely greeting the streamer with a cheerful and positive message, wishing them a wonderful Sunday while complimenting their appearance."
bossupcosmetics,Beauty & Skincare,That might,0,"The user is likely considering a purchase or agreeing with a suggestion, showing tentative interest in the product or topic being discussed."
bossupcosmetics,Beauty & Skincare,Blenddd,0,"The user likely meant to type ""Blender"" and is expressing interest in a cosmetic blending tool or product mentioned in the直播."
bossupcosmetics,Beauty & Skincare,How was the pop up in Houston?,0,"The user is likely asking about the success or experience of a recent promotional event (pop-up) held in Houston, possibly related to the cosmetics business mentioned earlier."
bossupcosmetics,Beauty & Skincare,did people go to ur pop up event !!!,0,"The user is asking if others attended the host's recent pop-up event, showing curiosity about its success or turnout."
bossupcosmetics,Beauty & Skincare,IM GOING TO FLORIDA TOMORROWWWW,0,"The user is excitedly sharing their upcoming trip to Florida, likely as a casual conversation rather than expressing direct purchase interest."
bossupcosmetics,Beauty & Skincare,black,1,"The user likely meant to type ""back"" but made a typo, expressing their return to the直播 after briefly leaving or lagging."
bossupcosmetics,Beauty & Skincare,You are amazing,0,The user is complimenting the host's performance or appearance with genuine admiration.
bossupcosmetics,Beauty & Skincare,I watch your videos every time the come up and they motivate me to stay consistent,0,"The user expresses loyalty and appreciation for the creator's content, stating it inspires their personal consistency without directly indicating purchase intent."
bossupcosmetics,Beauty & Skincare,Hii,0,"The user is likely greeting the streamer casually to show friendliness or get their attention, similar to others' enthusiastic hellos in the chat."
bossupcosmetics,Beauty & Skincare,Amazing singing,0,"The viewer is complimenting the host's singing talent with enthusiasm, likely reacting to a live performance segment in the stream."
bossupcosmetics,Beauty & Skincare,Omg my comment was so shady did it come through,0,"The user is playfully concerned if their previous sarcastic or teasing comment was visible in the chat, likely referencing an earlier lighthearted jab they made."
