live_id,species,content,label,background
yw110016,美容护肤,益生菌上,1,该用户可能是想询问或催促主播介绍或上架益生菌产品。
yw110016,美容护肤,"妇炎洁凝胶,妇炎洁凝胶",1,该用户可能是在催促主播介绍或上架妇炎洁凝胶产品，表现出明确的购买意向。
yw110016,美容护肤,15岁用什么样的牙膏,1,该用户可能在询问适合青少年使用的牙膏产品，暗示对口腔护理的关注和潜在的购买意向。
yw110016,美容护肤,洗发水有吗,1,该用户想询问直播间是否有洗发水产品在售或即将推荐。
yw110016,美容护肤,有面膜吗,1,该用户是在询问直播间是否有面膜产品在售。
yw110016,美容护肤,去屑的,1,该用户想询问直播间是否有去屑功能的洗发水产品。
yw110016,美容护肤,下午好瑜大,0,该用户是在向主播“瑜大”打招呼，可能想询问或讨论某个产品。
yw110016,美容护肤,16岁[调皮],0,该用户可能在询问适合16岁年龄段使用的产品推荐。
yw110016,美容护肤,瑜大下午好,0,该用户是在礼貌问候主播的同时，试图引起主播注意以获取互动机会。
yw110016,美容护肤,安睡裤,1,该用户可能在询问直播间是否有售卖安睡裤产品。
yw110016,美容护肤,脱发拍哪个洗发水,1,该用户想询问针对脱发问题的洗发水产品推荐。
yw110016,美容护肤,红蛮腰上链接,1,该用户是在催促主播尽快上架某款名为“红蛮腰”的产品链接。
yw110016,美容护肤,有水乳吗,1,该用户是在询问直播间是否有售卖水乳护肤品。
yw110016,美容护肤,洗发水,1,该用户是在询问直播间是否有洗发水产品。
yw110016,美容护肤,去屑洗发水,1,该用户是在询问直播间是否有去屑功能的洗发水产品。
yw110016,美容护肤,我需要这个[笑哭],1,该用户想表达的含义是：我对当前展示的产品很感兴趣，想要购买。
yw110016,美容护肤,牙龈出血用哪个?,1,该用户是在询问直播间推荐哪款产品适合解决牙龈出血的问题。
yw110016,美容护肤,我也爱吃麻辣的[调皮],0,该用户想表达的含义是：我对这款麻辣口味的商品也很感兴趣，想购买。
yw110016,美容护肤,安睡裤,1,该用户可能在询问直播间是否有售卖安睡裤产品，或是想了解关于安睡裤的相关信息。
yw110016,美容护肤,瑜大要钙尔奇,1,该用户是在询问主播“瑜大”是否会推荐或上架“钙尔奇”品牌的产品。
yw110016,美容护肤,精华油上,1,该用户是在催促主播上架精华油产品的链接。
yw110016,美容护肤,有宝宝益生菌喷雾吗,1,该用户是在询问直播间是否有售卖适合婴幼儿使用的益生菌喷雾产品。
yw110016,美容护肤,主播下午好,0,该用户是在礼貌性问候主播，同时可能是在观望直播内容或等待自己感兴趣的产品出现。
yw110016,美容护肤,防晒霜过了吗,1,该用户是在询问防晒霜产品是否已经介绍或上架过了，担心自己错过了相关信息。
yw110016,美容护肤,红蛮腰上链接,1,该用户是在催促主播尽快上架“红蛮腰”这款产品以供购买。
yw110016,美容护肤,洗衣液,1,该用户可能在询问直播间是否有洗衣液产品，或对当前展示的洗衣液表示兴趣。
yw110016,美容护肤,洗发水,1,该用户想表达的含义是：询问直播间是否有适合自己需求的洗发水产品。
yw110016,美容护肤,美夫宝防晒,1,该用户可能在询问直播间是否有“美夫宝”品牌的防晒产品，或对该品牌防晒表现出兴趣想了解详情。
yw110016,美容护肤,云南白药喷济有吗,1,该用户是在询问直播间是否有售卖云南白药喷雾剂这款产品。
yw110016,美容护肤,奥洛菲乳液,1,该用户是在询问直播间是否有售卖奥洛菲品牌的乳液产品。
yw110016,美容护肤,欧诗漫,1,该用户可能在询问直播间是否有欧诗漫品牌的产品或对其某款商品感兴趣。
yw110016,美容护肤,爱敬气垫,1,该用户可能是在询问主播是否有售卖爱敬品牌的气垫产品，或表达对该产品的兴趣。
yw110016,美容护肤,谷雨还过吗,1,该用户是在询问谷雨相关的产品是否还会在直播中促销或展示。
yw110016,美容护肤,防晒霜,1,该用户可能在询问防晒霜产品是否已经讲解或上架，表现出对防晒霜的购买兴趣。
yw110016,美容护肤,脱毛的,1,该用户可能在询问直播间是否有脱毛相关产品，比如脱毛膏或脱毛仪。
yw110016,美容护肤,上点儿福利,0,该用户希望主播发放更多优惠或赠品来吸引购买。
yw110016,美容护肤,卷发棒,1,该用户想表达的含义是：询问直播间是否有卷发棒产品或希望主播介绍/上架卷发棒。  （结合前文弹幕多为直接提及商品名称或催促上链接的购物导向内容，可推断此弹幕属于同类意图，属于消费者主动提出需求的典型购买兴趣表达。）
yw110016,美容护肤,条头糕,1,该用户想表达的含义是：询问主播是否会推荐或上架条头糕这款产品。
yw110016,美容护肤,防晒霜,1,该用户是在询问防晒霜产品是否已经或即将在直播中介绍或上架。
yw110016,美容护肤,想要防晒好点的,1,该用户是在询问直播间是否有防晒效果更好的产品推荐或促销。
yw110016,美容护肤,生姜洗发水,1,该用户想表达的含义是：询问直播间是否有生姜洗发水这款产品。
yw110016,美容护肤,香水香水,1,该用户是在催促主播尽快介绍或上架香水产品。
yw110016,美容护肤,谷雨谷雨谷雨,1,该用户是在催促主播尽快上架或介绍“谷雨”品牌的产品。
yw110016,美容护肤,欧诗漫美白,1,该用户是在询问或催促主播介绍欧诗漫品牌的美白产品，可能是对相关功效感兴趣或希望参与该产品的促销活动。
yw110016,美容护肤,安睡裤,1,该用户可能在询问直播间是否有售卖安睡裤产品或希望主播推荐相关商品。
yw110016,美容护肤,红蛮腰上链接,1,该用户是在催促主播尽快上架某款名为“红蛮腰”的产品链接，表现出明确的购买意向和急切心情。
yw110016,美容护肤,那个防晒好用,1,该用户想表达的含义是：询问主播推荐的防晒产品是否效果出色。
yw110016,美容护肤,水乳套盒,1,该用户想表达的含义是：询问主播是否有水乳套装产品并希望了解或购买。
yw110016,美容护肤,电动牙刷,1,该用户可能在询问或暗示主播推荐或介绍电动牙刷产品。
yw110016,美容护肤,"卷发棒,卷发棒",1,该用户急切催促主播上架或介绍卷发棒产品。
yw110016,美容护肤,脱毛仪在哪里?,1,该用户是在询问脱毛仪产品的购买链接或展示位置，表现出对这款商品的明确兴趣和购买意向。
yw110016,美容护肤,脱毛仪,1,该用户是在询问或催促主播展示/上架脱毛仪产品，表现出明确的购买意向。
yw110016,美容护肤,助播好帅!!,0,该用户可能是在活跃直播间氛围，通过夸赞助播的外表来参与互动，但并未直接表现出对当前售卖商品的购买兴趣。
yw110016,美容护肤,谷雨谷雨谷雨谷雨,1,该用户急切催促主播上架或介绍“谷雨”品牌的相关产品。
yw110016,美容护肤,欧诗漫护肤品有吗?补水的,1,该用户是在询问直播间是否有欧诗漫品牌的补水系列护肤品，表现出对该产品的明确购买意向。
yw110016,美容护肤,韩束上吗,1,该用户是在询问直播中是否会推出韩束品牌的产品。
yw110016,美容护肤,欧诗漫防晒,1,该用户可能在询问或表达对欧诗漫品牌防晒产品的兴趣或需求。
