live_id,species,content,label,background
cr00001111,服饰鞋履,五十五岁穿啥色,1,该用户可能在询问适合自己年龄段的服装颜色推荐，表现出对产品的潜在购买兴趣。
cr00001111,服饰鞋履,114买小吗能穿吗,1,该用户是在询问商品编号为114的尺码是否偏小，担心自己穿不下。
cr00001111,服饰鞋履,站起来看看,1,该用户想让主播起身展示服装的上身效果以便判断尺码或款式是否合适。
cr00001111,服饰鞋履,今晚有隔离吗?,1,该用户是在询问今晚是否有隔离霜产品的促销活动或展示环节。
cr00001111,服饰鞋履,皮肤黄穿哪个颜色,1,该用户想询问肤色偏黄的人适合选择什么颜色的服装。
cr00001111,服饰鞋履,我140多斤.穿着瘦吧,1,该用户是在询问自己140斤的体型穿这件衣服是否会显瘦。
cr00001111,服饰鞋履,夏凉被,1,该用户可能在询问夏凉被的款式、尺寸或适用性，比如是否适合当前季节使用或是否符合自己的需求。
cr00001111,服饰鞋履,120斤穿多大码,1,该用户想询问自己体重120斤适合选择什么尺码的服装。
cr00001111,服饰鞋履,54岁穿什么色有点里,1,该用户想询问54岁的人适合穿什么颜色的衣服。
cr00001111,服饰鞋履,买了白色超好,1,该用户想表达的含义是：已经购买了白色款，并且对产品非常满意。
cr00001111,服饰鞋履,最小号衣长多少,1,该用户是在询问服装的最小尺码的具体尺寸信息，以判断是否适合自己的身材。
cr00001111,服饰鞋履,蕊姐这样看像白雪,0,该用户可能在称赞主播当前的穿着或妆容与白色服饰搭配起来有清新优雅的气质，类似于白雪给人的视觉印象。
cr00001111,服饰鞋履,这个是浅咖吗,1,该用户是在询问当前展示的商品颜色是否为浅咖色，可能对这款颜色有购买意向或想确认是否符合自己的需求。
cr00001111,服饰鞋履,黑色没有大码了,0,该用户想表达的含义是：询问黑色款式的商品是否已售罄大码尺寸。
cr00001111,服饰鞋履,蕊姐手表,1,该用户可能是在询问主播“蕊姐”佩戴的手表款式或购买链接。
cr00001111,服饰鞋履,看看黑色,1,该用户想表达的含义是：想了解黑色款式的商品详情或展示效果。
cr00001111,服饰鞋履,蕊姐什么码,1,该用户是在询问主播所穿衣服的尺码信息，以便参考购买。
cr00001111,服饰鞋履,推荐个什么颜色啊,1,该用户是在询问主播针对自己的情况推荐合适的商品颜色选择建议。
cr00001111,服饰鞋履,防晒防晒防晒防晒防晒防晒防晒防晒防晒防晒防晒防晒防晒防晒,1,该用户想表达的含义是：强烈询问或催促主播介绍防晒产品。
cr00001111,服饰鞋履,坐下看不见,0,该用户可能是对直播展示的商品（如服装）的实际效果有疑虑，认为当前模特坐着展示时无法看清商品全貌或上身效果。
cr00001111,服饰鞋履,有鞋吗,1,该用户想询问直播间是否有售卖鞋类产品。
cr00001111,服饰鞋履,凉被夏,1,该用户可能是想询问主播展示的夏凉被的相关信息，比如材质、尺寸或价格等。
cr00001111,服饰鞋履,布鞋布鞋布鞋布鞋布鞋布鞋布鞋布鞋布鞋,1,该用户可能是在强烈询问或催促主播展示/介绍布鞋产品，表达对布鞋的迫切购买兴趣。
cr00001111,服饰鞋履,白裤子配白色好看吗?,1,该用户可能是在询问白色裤子的搭配效果，想确认同色系搭配是否协调好看，隐含对产品购买意向的试探。
cr00001111,服饰鞋履,衣长多少,1,该用户想询问当前展示服装的具体衣长尺寸，以便判断是否适合自己的身材。
cr00001111,服饰鞋履,什么面料,1,该用户想询问当前展示商品的具体材质或面料成分。
cr00001111,服饰鞋履,女式休闲外套有吗?,1,该用户是在询问直播间是否有适合女性穿着的休闲风格外套可供购买。
cr00001111,服饰鞋履,125斤拍多大,1,该用户是在询问自己体重125斤应该选择什么尺码的商品。
cr00001111,服饰鞋履,拍了米白,1,该用户想表达的含义是：已经下单购买了米白色的商品。  （结合前文弹幕中频繁讨论颜色、尺码及购买行为，如“买了白色超好”“黑色没有大码了”，可推断“拍了”指完成下单，“米白”是用户选择的商品颜色。）
cr00001111,服饰鞋履,"白色,棕色哪个好看",1,该用户正在纠结商品的颜色选择，希望获得他人对白色和棕色的搭配建议或主观审美推荐。
cr00001111,服饰鞋履,主播好,0,该用户想表达的含义是：对主播表示友好认可，但并未直接表达购买意向。
cr00001111,服饰鞋履,114买小码可以穿吗,1,该用户是在询问身高114cm的人能否穿小码的服装。
cr00001111,服饰鞋履,晚上好,0,该用户可能在礼貌性打招呼的同时暗示自己刚进入直播间，希望主播或其他观众能注意到自己的存在并互动。
cr00001111,服饰鞋履,再上点豆浆机呗,1,该用户希望主播能补充豆浆机产品的库存或再次介绍该商品。
cr00001111,服饰鞋履,"蕊姐,要氨糖",1,该用户想表达的含义是：询问主播是否有售卖氨糖类产品并表现出购买意向。
cr00001111,服饰鞋履,白色好看,1,该用户倾向于选择白色款商品，并认为其外观效果更佳。
cr00001111,服饰鞋履,这两个颜色不知道选哪个了,1,该用户正在纠结两款颜色的选择，希望获得购买建议或参考意见。
cr00001111,服饰鞋履,"面膜,面膜,面膜",1,该用户急切地询问或催促主播介绍或上架面膜产品。
cr00001111,服饰鞋履,黑色没大码,1,该用户想表达的含义是：询问商品是否有黑色款且提供更大尺码的选择。
cr00001111,服饰鞋履,身上穿的40多岁推荐啥颜色,1,该用户想询问适合40多岁年龄段的服装颜色推荐。
cr00001111,服饰鞋履,体温计,1,该用户可能在询问直播间是否有体温计商品或想了解相关产品信息。
cr00001111,服饰鞋履,是甜的吗?小糖人可以吃吗?,1,该用户可能是在询问展示的糖果类产品（如小糖人）的口味是否偏甜以及是否可食用，表现出对商品细节的关注和潜在的购买兴趣。
cr00001111,服饰鞋履,甜不甜,1,该用户可能是在询问直播中展示的食品（如小糖人或其他甜食）的实际口感是否足够甜。
cr00001111,服饰鞋履,去屑洗发水,1,该用户可能在询问直播间是否有去屑洗发水产品，并对其功效或购买选项表现出兴趣。
cr00001111,服饰鞋履,"骆驼奶没有了,啥时候能有",1,该用户想表达的含义是：询问商品何时补货以便购买。
cr00001111,服饰鞋履,"上,鸭翅,回购",1,该用户希望主播尽快上架鸭翅商品，并表示自己之前购买过愿意再次回购。
cr00001111,服饰鞋履,"(⊙o⊙)哇,老买这个吃",0,该用户想表达的含义是：这款产品我经常回购，非常喜欢。
cr00001111,服饰鞋履,站起来看看,1,该用户可能是想让主播站起来展示商品的全貌或上身效果。
cr00001111,服饰鞋履,眼线笔,1,该用户可能在询问主播是否有眼线笔这款产品，或希望主播介绍/推荐眼线笔。
cr00001111,服饰鞋履,上链接衣服,1,该用户急切催促主播尽快上架当前展示的服装商品链接以便购买。
cr00001111,服饰鞋履,再上点豆浆机呗,1,该用户希望主播能补充上架豆浆机商品以供购买。
cr00001111,服饰鞋履,面膜面膜,1,该用户急切希望主播推荐或上架面膜产品。
cr00001111,服饰鞋履,153穿多大的,1,该用户想询问自己身高153厘米应该选择什么尺码的商品。
cr00001111,服饰鞋履,"蕊姐,菜刀上点吧[玫瑰][玫瑰][玫瑰][玫瑰]",1,该用户想表达的含义是：催促主播尽快上架菜刀商品并表示强烈购买意愿。
cr00001111,服饰鞋履,无糖的吗,1,该用户是在询问产品是否不含糖分，可能出于健康或饮食限制的考虑而关注成分信息。
cr00001111,服饰鞋履,空气炸锅,1,该用户可能在询问或暗示希望主播介绍或上架空气炸锅相关的产品信息。
cr00001111,服饰鞋履,蕊姐穿的衣服在几号链接,1,该用户想询问主播身上所穿服装对应的商品购买链接。
cr00001111,服饰鞋履,有粉条吗,1,该用户是在询问直播间是否有售卖粉条这一商品。
cr00001111,服饰鞋履,有糖吗?,1,该用户想询问直播中展示的商品是否含有糖分。
cr00001111,服饰鞋履,"亲,120斤,拍什么码?",1,该用户是在询问自己体重120斤应该选择什么尺码的衣服。
cr00001111,服饰鞋履,有营养,1,该用户可能在询问或确认直播中提到的某款食品或产品是否具备营养价值。
cr00001111,服饰鞋履,眼线笔上吗?,1,该用户是在询问主播是否会推出眼线笔商品并上架购买链接。
cr00001111,服饰鞋履,乡巴佬肉干有吗?,1,该用户是在询问直播间是否有售卖“乡巴佬”品牌的肉干产品，表现出对该商品的购买兴趣。
cr00001111,服饰鞋履,防晒防晒防晒防晒防晒防晒防晒防晒防晒防晒防晒防晒,1,该用户想表达的含义是：强烈要求主播尽快上架或介绍防晒产品。
cr00001111,服饰鞋履,乡巴佬肉干有吗,1,该用户想询问直播间是否有售卖“乡巴佬”品牌的肉干产品。
cr00001111,服饰鞋履,有洗衣液吗,1,该用户想询问直播间是否在售卖洗衣液产品。
cr00001111,服饰鞋履,好吃的,1,该用户想表达的含义是：对当前展示的食品产品表示兴趣并询问是否美味可口。
cr00001111,服饰鞋履,双人夏凉被,1,该用户可能在询问是否有适合夏季使用的双人尺寸凉被商品上架。
cr00001111,服饰鞋履,有意思,0,该用户可能觉得当前直播展示的商品或互动内容比较新颖有趣，产生了观看兴趣。
cr00001111,服饰鞋履,今晚有洗衣液吗,1,该用户是在询问直播中是否会推出洗衣液产品进行售卖。
cr00001111,服饰鞋履,有无糖面包吗?,1,该用户是在询问直播间是否有不含糖的面包产品可供购买。
cr00001111,服饰鞋履,洗衣液有吗,1,该用户是在询问直播间是否有洗衣液产品上架或售卖。
cr00001111,服饰鞋履,糖人能吃吗,1,该用户是在询问直播展示的糖人食品是否适合食用或是否符合其饮食需求。
cr00001111,服饰鞋履,锅电磁炉能不能用,1,该用户想询问直播中展示的锅具是否兼容电磁炉使用。
cr00001111,服饰鞋履,一看就香,1,该用户想表达的含义是：这款产品看起来非常诱人，让人有购买的欲望。
cr00001111,服饰鞋履,好吃不,1,该用户想询问产品是否美味可口。
cr00001111,服饰鞋履,蕊姐身上的衣服上了没,1,该用户是在询问主播身上穿的服装是否已经上架售卖。
cr00001111,服饰鞋履,这个好吃,1,该用户想表达的含义是：对当前直播展示的产品表示认可并产生了品尝或购买的意愿。
cr00001111,服饰鞋履,2岁孩子能吃吗,1,该用户想表达的含义是：询问产品是否适合两岁幼儿食用。
cr00001111,服饰鞋履,上点麦片蕊姐,1,该用户希望主播蕊姐尽快上架或介绍麦片产品。
cr00001111,服饰鞋履,有粉条吗?,1,该用户是在询问直播间是否有售卖红薯粉丝这类商品。
cr00001111,服饰鞋履,看看配料表,1,该用户可能对当前展示的食品或产品成分有疑虑，想通过查看配料表确认是否适合自己需求或符合健康标准。
cr00001111,服饰鞋履,糖人可以吃吗?,1,该用户是在询问直播展示的糖人工艺品是否属于可食用的食品类别。
cr00001111,服饰鞋履,看着就好吃,1,该用户想表达的含义是：这款食品看起来非常诱人，让人产生想尝试的欲望。
cr00001111,服饰鞋履,有乳液吗,1,该用户是在询问直播间是否有售卖乳液产品。
cr00001111,服饰鞋履,"蕊姐蕊姐蕊姐,今天有霜吗?",1,该用户是在询问主播今天是否有某款名为“霜”的产品（可能是面霜或其他护肤品）上架销售。
cr00001111,服饰鞋履,糖人能吃不,1,该用户是在询问糖人这种食品是否适合食用或是否符合安全标准。
cr00001111,服饰鞋履,甜口还是咸口,1,该用户想询问直播中展示的食品是甜味还是咸味的，以判断是否符合自己的口味偏好。
cr00001111,服饰鞋履,会不会很甜呢,1,该用户是在询问产品的甜度是否适中，可能担心口味过甜而影响购买意愿。
cr00001111,服饰鞋履,在上豆浆机,0,该用户是在询问直播间是否会上架豆浆机产品。
cr00001111,服饰鞋履,30号裤子链接还能加码吗,1,该用户想询问之前展示过的30号裤子是否还能增加库存或重新上架购买链接。
cr00001111,服饰鞋履,双人夏凉被,1,该用户可能是在询问直播间是否有双人尺寸的夏凉被产品上架或推荐。
cr00001111,服饰鞋履,"吃过了,好吃",0,该用户想表达的含义是：我之前尝过这个产品，味道很不错（暗示有购买意愿或推荐给他人）。
cr00001111,服饰鞋履,糖人能吃吗,1,该用户是在询问糖人这种食品是否适合食用，可能是出于对食品安全或适用人群的顾虑。
cr00001111,服饰鞋履,有梳子吗,1,该用户想询问直播间是否有梳子这类商品在售或即将上架。
cr00001111,服饰鞋履,洗衣液有吗,1,该用户可能在询问直播间是否有洗衣液产品上架，表现出对购买洗衣液的兴趣或需求。
cr00001111,服饰鞋履,精华液断粮了,0,该用户想表达的含义是：自己常用的精华液用完了，询问直播间是否有货或推荐类似产品。
cr00001111,服饰鞋履,糖人能吃吗?,1,该用户可能在询问糖人（糖尿病患者）是否适合食用该产品，关注点在于产品的糖分含量或健康风险。
cr00001111,服饰鞋履,染发剂,1,该用户可能在询问直播间是否有染发剂产品，或对染发剂的成分、使用效果等相关信息感兴趣。
cr00001111,服饰鞋履,199简约打底衫上点大号吧,1,该用户希望主播尽快补货199元的简约款大码打底衫。
cr00001111,服饰鞋履,有眼霜吗,1,该用户是在询问直播间是否有眼霜产品上架或售卖。
cr00001111,服饰鞋履,小朋友能吃吗,1,该用户是在询问该产品是否适合儿童食用。
cr00001111,服饰鞋履,洗发水,1,该用户可能在询问直播间是否有洗发水产品上架或想了解相关产品的信息。
cr00001111,服饰鞋履,染发膏,1,该用户可能在询问直播间是否有染发膏产品或者对染发膏的相关信息感兴趣。
cr00001111,服饰鞋履,膏药膏药膏药膏药膏药膏药膏药膏药膏药膏药膏药膏药膏药膏药膏药膏药膏药膏,1,该用户可能是在急切询问或反复强调直播间是否售卖膏药产品，表达强烈的购买需求或对膏药类商品的兴趣。
cr00001111,服饰鞋履,"已拍,希望好吃",0,该用户想表达的含义是：已经下单购买了产品，期待商品品质符合预期。
cr00001111,服饰鞋履,老人可以吃吗,1,该用户是在询问产品是否适合老年人食用或使用。
cr00001111,服饰鞋履,主播甜的吗[火][火][火][火],1,"该用户想表达的含义是：询问主播展示的商品是否属于甜味品类，并附加热烈期待的情绪。  （结合前文弹幕高频出现的""甜口/咸口""""糖人能吃吗""等食品相关提问，以及表情符号[火]的亢奋属性，可推断用户聚焦于商品口味，且兴趣强烈。）"
cr00001111,服饰鞋履,有珍珠耳环沒有,1,该用户是在询问直播间是否有珍珠耳环这款商品在售。
cr00001111,服饰鞋履,没有豆浆机了吗,1,该用户是在询问直播间是否已经售罄或下架了之前展示过的豆浆机产品。
cr00001111,服饰鞋履,什么时侯有男士西服?????,1,该用户想询问直播间何时会上架男士西服款式，表现出明确的品类需求意向。
cr00001111,服饰鞋履,粉底液,1,该用户可能在询问直播间是否有粉底液产品，表达了对美妆类商品的购买兴趣。
cr00001111,服饰鞋履,去屑洗发水???,1,该用户可能是在询问直播间是否有去屑洗发水产品，并表现出对该商品的兴趣或需求。
cr00001111,服饰鞋履,上鸭翅回购,1,该用户想表达的含义是：催促主播尽快上架鸭翅并表示自己之前购买过还想再次购买。
cr00001111,服饰鞋履,保质期多久,1,该用户想询问商品的有效期限以评估是否适合购买或囤货。
