live_id,species,content,label,background
bigbosswarehouse,Daily Essentials,Is it AA batteries Sam?,1,"The user is likely asking if the product being discussed or shown is AA batteries, possibly directed at the host named Sam."
bigbosswarehouse,Daily Essentials,under stairs cupboard perfect,0,The user likely means the under-stairs cupboard would be ideal for storing AA batteries mentioned earlier.
bigbosswarehouse,Daily Essentials,I like them,0,"The user likely expresses approval or interest in the AA batteries mentioned earlier, possibly intending to purchase them for the under-stairs cupboard."
bigbosswarehouse,Daily Essentials,summer house,0,"The user is likely expressing interest in purchasing or discussing the ""summer house"" product, possibly as another storage solution like the previous items mentioned."
bigbosswarehouse,Daily Essentials,airing cupboard,1,"The user is likely suggesting ""airing cupboard"" as another suitable storage option similar to ""under stairs cupboard"" mentioned earlier."
bigbosswarehouse,Daily Essentials,Good morning,0,"The user is likely greeting the host or viewers casually, possibly indicating they've just joined the live stream."
bigbosswarehouse,Daily Essentials,Link 1 set 10.. motion sensor lights.. 10 for 4,0,"The user is likely asking for a link to purchase a set of 10 motion sensor lights priced at 4 units (currency implied), showing clear buying intent."
bigbosswarehouse,Daily Essentials,Perfect thanks,0,"The user likely expresses satisfaction with the mentioned storage location (under stairs/airing cupboard) for the motion sensor lights, confirming it's a suitable spot."
bigbosswarehouse,Daily Essentials,Do you know when the charging wires I brought last week should be with us ?.,0,The user is inquiring about the estimated delivery time for the charging cables they ordered last week.
bigbosswarehouse,Daily Essentials,what is it please,1,The user is asking for more details or clarification about a product being discussed in the直播.
bigbosswarehouse,Daily Essentials,Got 2 sets are they AA?,0,"The user is asking if the two sets of items they got (likely motion sensor lights) use AA batteries, confirming the power source mentioned earlier."
bigbosswarehouse,Daily Essentials,Thank you,0,"The user is likely expressing gratitude for the information or product mentioned earlier, possibly in response to a helpful answer or confirmation."
bigbosswarehouse,Daily Essentials,loft hatch,0,"The user is likely inquiring about the availability or details of a ""loft hatch"" product mentioned earlier in the conversation."
bigbosswarehouse,Daily Essentials,just ordered,0,"The user is confirming they've just placed an order for the discussed product, likely motion sensor lights or similar items mentioned earlier."
bigbosswarehouse,Daily Essentials,Burger van,1,The user is likely asking if the product being discussed is a burger van or inquiring about its availability for purchase.
bigbosswarehouse,Daily Essentials,bargain,0,The user is likely asking if the product being discussed is a good deal or discounted.
bigbosswarehouse,Daily Essentials,Ordered 1,0,"The user is confirming they've placed an order for the mentioned product, likely responding to a promotion or item link shared earlier in the chat."
bigbosswarehouse,Daily Essentials,Got 2 sets,0,The user likely means they have purchased two sets of the motion sensor lights mentioned earlier in the chat.
bigbosswarehouse,Daily Essentials,missed it,0,"The user likely expresses regret for missing out on purchasing the mentioned items, possibly the motion sensor lights or AA batteries."
bigbosswarehouse,Daily Essentials,Sam you got any of them in dartford?,1,The user is likely asking if the product mentioned earlier (possibly motion sensor lights) is available for purchase or delivery in Dartford.
bigbosswarehouse,Daily Essentials,I just sit back relax & wait for my Evri driver to knock my door loads of orders coming lol exciting,0,"The user is excitedly anticipating multiple deliveries from Evri, indicating they recently made several purchases during the直播."
bigbosswarehouse,Daily Essentials,Guys Check us Out,0,"The user is likely promoting their own product or channel, encouraging others to visit based on the shopping-focused context."
bigbosswarehouse,Daily Essentials,No worries thank you for answering.,0,The user is politely acknowledging a helpful response from the host without showing purchase intent.
bigbosswarehouse,Daily Essentials,only just missed out,0,The user likely means they narrowly failed to get the item they wanted before it sold out.
bigbosswarehouse,Daily Essentials,Just got my Duvet and garden post lights. Brilliant as always. Thanks,0,The user is expressing satisfaction with their recent purchases (a duvet and garden lights) and appreciation for the consistent quality of the products.
bigbosswarehouse,Daily Essentials,450 to go for matts marathon goal,0,"The user is likely tracking progress toward a collective purchase goal for mattress products, indicating there are still 450 units left to reach the target."
bigbosswarehouse,Daily Essentials,any ritual gift set,1,The user is likely inquiring if there are any ritual-themed gift sets available for purchase in the current live sale.
bigbosswarehouse,Daily Essentials,what number are the cups,1,"The user is likely asking about the size or measurement of the cups being shown in the直播, possibly considering a purchase."
bigbosswarehouse,Daily Essentials,450 fidget toy go,0,"The user is likely noting that there are still 450 fidget toys left to reach the marathon goal mentioned earlier, possibly considering purchasing one."
bigbosswarehouse,Daily Essentials,Got my chairs they are lovely thank you,0,The user is expressing satisfaction and gratitude for receiving and liking the chairs they purchased from the直播.
bigbosswarehouse,Daily Essentials,what are the bathroom set you was just on about ?,1,"The user is asking for more details about the bathroom set that was recently mentioned in the直播, showing genuine interest in potentially purchasing it."
bigbosswarehouse,Daily Essentials,any ritual set,0,"The user is likely inquiring about the availability of a ritual-themed gift set, possibly referencing a similar product mentioned earlier (""any ritual gift set"")."
bigbosswarehouse,Daily Essentials,Ordered,0,The user is confirming they've successfully placed an order for the product being discussed.
bigbosswarehouse,Daily Essentials,These are amazing value and heavy,0,"The user is expressing strong approval of the product's quality and affordability, likely indicating their purchase interest."
bigbosswarehouse,Daily Essentials,I received mine yesterday they are lush,0,"The user is expressing satisfaction with their recent purchase, confirming they received the item and praising its quality."
bigbosswarehouse,Daily Essentials,thank you..  wow,0,The user likely expresses gratitude and excitement after receiving their order or hearing positive feedback about a product.
bigbosswarehouse,Daily Essentials,ì have 6 of the bath set and they are truly nice,0,The user is expressing satisfaction with their previous purchases of the bath set and implying they are a repeat customer who enjoys the product.
bigbosswarehouse,Daily Essentials,Got 4 sets thank you!,0,The user is expressing satisfaction and gratitude for purchasing four sets of the product mentioned in the live stream.
bigbosswarehouse,Daily Essentials,Ordered 3 thank you,0,The user is confirming they've purchased three items and expressing gratitude for the products or service.
bigbosswarehouse,Daily Essentials,Can I see Greek blanket please,1,The user is likely interested in purchasing a Greek-style blanket and is asking the host to show it on screen for a closer look.
bigbosswarehouse,Daily Essentials,What is number 7?,1,"The user is likely asking about the details or description of the product labeled as ""number 7"" in the current promotion or display."
bigbosswarehouse,Daily Essentials,When will delivery be if I order today?,0,The user is likely interested in purchasing and wants to know the estimated arrival time for orders placed today.
bigbosswarehouse,Daily Essentials,received my 1 mystery item ordered 20 amazing value,0,"The user is excitedly sharing their positive experience with a mystery item they purchased, emphasizing its great value and satisfaction with the order."
bigbosswarehouse,Daily Essentials,are you doing pillows today aswell?,1,"The user is likely asking if pillows are also being featured or sold in today's直播 session, showing interest in purchasing them."
bigbosswarehouse,Daily Essentials,Hey Sam i just received an email my order is cancelled!!!,0,The user is expressing frustration and seeking clarification about their canceled order after seeing others receive their purchases successfully.
bigbosswarehouse,Daily Essentials,people can see how many orders he has to pack delivery will take as long as it takes,0,The user is expressing understanding about potential delivery delays due to the visible high order volume the seller needs to process.
bigbosswarehouse,Daily Essentials,thank you,0,The user is expressing gratitude for a recent purchase or positive experience with the product based on the context of previous thankful and order-related messages.
bigbosswarehouse,Daily Essentials,Can you pin the Greek throws please,0,"The user is likely asking the host to highlight or feature the Greek-style throw blankets for purchase, showing interest in that specific product."
bigbosswarehouse,Daily Essentials,Ordered,0,"The user is confirming their purchase of the mentioned product, likely influenced by others' positive feedback on similar items."
bigbosswarehouse,Daily Essentials,I love minex,1,"The user is expressing satisfaction with their purchased ""minex"" product, likely similar to others praising received items in the chat."
bigbosswarehouse,Daily Essentials,Can I see the other colours?,1,The user is interested in exploring more color options of the currently featured product before making a purchase decision.
bigbosswarehouse,Daily Essentials,Thanks for showing,0,"The user is expressing gratitude for the product demonstration, likely indicating interest or satisfaction with what was shown."
bigbosswarehouse,Daily Essentials,my son loves his sam,0,The user is expressing satisfaction with a previous purchase (likely from Sam's shop) by sharing that their son enjoys the product.
bigbosswarehouse,Daily Essentials,thank you,0,"The user is expressing gratitude, likely for a product they purchased or received, aligning with others' positive feedback and thankfulness in the chat."
