live_id,species,content,label,background
bigbosswarehouse,Daily Essentials,Is it AA batteries Sam?,1,The user is inquiring about whether the product being discussed uses AA batteries.
bigbosswarehouse,Daily Essentials,under stairs cupboard perfect,0,The user is possibly expressing interest in finding a perfect storage solution for AA batteries.
bigbosswarehouse,Daily Essentials,I like them,0,The user is expressing an interest or preference for a particular product or item.
bigbosswarehouse,Daily Essentials,summer house,0,"The user is likely expressing interest in purchasing a summer house, considering the context of the previous chat messages."
bigbosswarehouse,Daily Essentials,airing cupboard,1,"The user may be indicating their interest in purchasing an airing cupboard, possibly considering it as a potential storage solution for their home."
bigbosswarehouse,Daily Essentials,Good morning,0,The user is likely expressing a general greeting or pleasantries.
bigbosswarehouse,Daily Essentials,Link 1 set 10.. motion sensor lights.. 10 for 4,0,The user is showing interest in purchasing motion sensor lights in bulk at a discounted price.
bigbosswarehouse,Daily Essentials,Perfect thanks,0,The user is expressing satisfaction or approval towards something mentioned or shown in the live stream.
bigbosswarehouse,Daily Essentials,Do you know when the charging wires I brought last week should be with us ?.,0,The user is inquiring about the delivery status of the charging wires purchased last week.
bigbosswarehouse,Daily Essentials,what is it please,1,The user is likely seeking information or clarification about a specific product or item being discussed in the live stream.
bigbosswarehouse,Daily Essentials,Got 2 sets are they AA?,0,The user is inquiring whether the items they have purchased are compatible with AA batteries.
bigbosswarehouse,Daily Essentials,Thank you,0,The user is expressing gratitude.
bigbosswarehouse,Daily Essentials,loft hatch,0,"The user may be expressing interest in purchasing a loft hatch, considering the previous discussions about various household items and inquiries about specific features such as batteries and charging wires."
bigbosswarehouse,Daily Essentials,just ordered,0,The user is likely expressing their recent purchase without providing specific details.
bigbosswarehouse,Daily Essentials,Burger van,1,The user is expressing interest in a burger van.
bigbosswarehouse,Daily Essentials,bargain,0,The user is potentially expressing interest in finding a good deal or negotiating a lower price during the live shopping event.
bigbosswarehouse,Daily Essentials,Ordered 1,0,The user is expressing that they have just made a purchase.
bigbosswarehouse,Daily Essentials,Got 2 sets,0,The user is expressing their interest in purchasing two sets of items.
bigbosswarehouse,Daily Essentials,missed it,0,The user may have missed the opportunity to purchase an item or participate in a deal during the livestream.
bigbosswarehouse,Daily Essentials,Sam you got any of them in dartford?,1,The user is inquiring whether the product is available in the specific location of Dartford.
bigbosswarehouse,Daily Essentials,I just sit back relax & wait for my Evri driver to knock my door loads of orders coming lol exciting,0,"The user is excited and eagerly anticipating the arrival of their Evri driver with a lot of orders, showing their interest in making purchases during the live stream."
bigbosswarehouse,Daily Essentials,Guys Check us Out,0,"The user is indicating that they want others to check out something, possibly a product or a website."
bigbosswarehouse,Daily Essentials,No worries thank you for answering.,0,The user is expressing gratitude for receiving an answer and wants to reassure the person that there is no need to worry.
bigbosswarehouse,Daily Essentials,only just missed out,0,The user is expressing regret or disappointment in not being able to purchase something they were interested in.
bigbosswarehouse,Daily Essentials,Just got my Duvet and garden post lights. Brilliant as always. Thanks,0,"The user is expressing satisfaction with their recent purchase of a duvet and garden post lights, indicating a positive experience with the products."
bigbosswarehouse,Daily Essentials,450 to go for matts marathon goal,0,The user is expressing interest in contributing to reaching the marathon goal for Matt by stating the amount left to reach the target.
bigbosswarehouse,Daily Essentials,any ritual gift set,1,The user is likely expressing interest in purchasing a ritual gift set.
