live_id,species,content,label,background
wellnesswizards4,Digital Technology,I wanna know if that can be work if I live for a volleyball tournament?,1,The user is asking if the product would be functional or suitable for use during a volleyball tournament they're attending.
wellnesswizards4,Digital Technology,done,0,"The user likely means ""I've completed the purchase"" or ""I'm done with my order,"" indicating a successful transaction after inquiring about product suitability."
wellnesswizards4,Digital Technology,this works with android too?,1,"The user is asking if the product is also compatible with Android devices, indicating interest in purchasing if it works with their phone."
wellnesswizards4,Digital Technology,"i will order no3, ship me fast",1,The user intends to purchase item number 3 and requests prompt shipping.
wellnesswizards4,Digital Technology,Does it pause and start with remote,1,The user is asking if the product can be controlled remotely to pause and resume its function.
wellnesswizards4,Digital Technology,1 or 3??,1,"The user is likely asking for a recommendation between option 1 or 3, possibly comparing product features mentioned earlier in the chat."
wellnesswizards4,Digital Technology,"still thinking wat will i get, no.1 or 3",1,The user is hesitating between choosing product number 1 or 3 and seeking confirmation about their purchase decision.
wellnesswizards4,Digital Technology,Do these gestures work when you stream on TikTok or any other app or only in camera mode?,1,The user is asking if the gestures function across different streaming platforms like TikTok or are limited to just the camera mode.
wellnesswizards4,Digital Technology,will the queen answer?,0,"The user is likely asking if the host or a prominent figure in the stream (referred to as ""the queen"") will respond to their or others' questions about the product features."
wellnesswizards4,Digital Technology,hellooo,0,The user is likely greeting the stream casually or trying to get the host's attention in a friendly manner.
wellnesswizards4,Digital Technology,can you do that in landscape mode,0,The user is asking if the product feature can function in a horizontal screen orientation.
wellnesswizards4,Digital Technology,whats the add on for no.1 to get free shipping,1,The user is asking about the additional purchase required with product No.1 to qualify for free shipping.
wellnesswizards4,Digital Technology,how can i save shipping from no. 1,0,The user is asking about ways to reduce or eliminate shipping fees for product number one.
wellnesswizards4,Digital Technology,Smokers cough,0,"The user is likely asking if the product can help with smoker's cough, possibly comparing it to previous discussions about health or functionality."
wellnesswizards4,Digital Technology,how many days to LA?,0,The user is likely inquiring about the estimated delivery time to Los Angeles for a potential purchase.
wellnesswizards4,Digital Technology,I went to your showcase,0,The user likely wants to confirm if their past attendance at a showcase relates to current product features or offers mentioned in the live stream.
wellnesswizards4,Digital Technology,The $49 one,1,"The user is likely inquiring about the details or availability of the product priced at $49, possibly comparing it with other options mentioned earlier."
wellnesswizards4,Digital Technology,good,0,The user likely expresses approval or satisfaction with a product feature or response mentioned earlier in the chat.
wellnesswizards4,Digital Technology,i order it,0,"The user is confirming their purchase decision, likely influenced by previous discussions about product options and shipping details."
wellnesswizards4,Digital Technology,QUEEN,0,"The user is likely asking if the host (referred to as ""queen"") will respond to their previous question about compatibility with Android."
wellnesswizards4,Digital Technology,ok ty,0,"The user likely means ""Okay, thank you"" to acknowledge a response about product details or shipping information mentioned earlier in the chat."
wellnesswizards4,Digital Technology,USA,0,The user is likely inquiring about shipping availability or delivery time to the United States.
wellnesswizards4,Digital Technology,Ordered,0,"The user likely means ""I have just placed an order for this product"" to confirm their purchase intention after considering options mentioned in previous chats."
wellnesswizards4,Digital Technology,how do I get the free one,0,The user is likely asking about the conditions or steps required to obtain a complimentary product mentioned in the promotion.
wellnesswizards4,Digital Technology,I just bought,0,The user is confirming their recent purchase of the product being discussed in the live stream.
wellnesswizards4,Digital Technology,Link 1,1,The user is likely asking for the purchase link for product number 1 mentioned in previous chats about free shipping.
wellnesswizards4,Digital Technology,Disruptor officials,0,"The user is likely inquiring about the official features or details of the ""Disruptor"" product mentioned earlier in the chat."
wellnesswizards4,Digital Technology,What're you doing Susan,0,The user is likely asking Susan to demonstrate or explain the current action or product feature being shown in the直播.
wellnesswizards4,Digital Technology,Does it clap tho?,1,"The user is likely asking if the product has a clapping feature or makes a clapping sound, possibly out of curiosity or playful skepticism."
wellnesswizards4,Digital Technology,How much?,1,The user is likely inquiring about the price of the product being discussed in the live stream.
wellnesswizards4,Digital Technology,How do you connect the mirophone?,1,The user is asking how to set up or pair the microphone being discussed in the live stream.
wellnesswizards4,Digital Technology,Light?,0,The user is likely asking about the brightness or lighting feature of the product being discussed in the live stream.
wellnesswizards4,Digital Technology,How does the light works?,1,The user is likely asking about the functionality or operation of the light product mentioned earlier in the chat.
wellnesswizards4,Digital Technology,Can it extend to a taller height?,1,"The user is likely inquiring about the adjustable height feature of a product, possibly a standing desk or lamp, showing interest in its functionality before purchasing."
wellnesswizards4,Digital Technology,can it point down to the table,1,The user is likely asking if the product can be adjusted to tilt downward toward a table surface.
wellnesswizards4,Digital Technology,ISSUE detected 1012-End live to avoid suspension,0,"The user is likely warning the streamer about a technical issue (error code 1012) that might suspend the broadcast, suggesting ending the live session to prevent penalties."
wellnesswizards4,Digital Technology,does the phone flip down,1,"The user is likely asking if the phone has a folding or flip-down feature, possibly inquiring about its design or functionality."
wellnesswizards4,Digital Technology,IFree shipping???,1,"The user is likely asking for confirmation about whether the product offers free shipping, showing interest in purchasing if that's the case."
wellnesswizards4,Digital Technology,So about that shipping,0,"The user is likely inquiring about the shipping details or costs, possibly prompted by seeing others mention ordering or free shipping."
wellnesswizards4,Digital Technology,Why you have 2 is one better that another one ?,1,The user is asking why there are two versions of the product and inquiring if one has advantages over the other.
wellnesswizards4,Digital Technology,Yes am from us,0,"The user is confirming their location in the US, likely inquiring about shipping or product availability specifics."
wellnesswizards4,Digital Technology,You post to Brazil,0,The user is likely asking if the product can be shipped to Brazil or confirming their location for shipping purposes.
wellnesswizards4,Digital Technology,I got mine,0,The user is confirming they have already purchased the product mentioned in the live stream.
wellnesswizards4,Digital Technology,Can I pay with gift card,1,"The user is inquiring about payment options, specifically if gift cards are accepted for the purchase being discussed in the live stream."
wellnesswizards4,Digital Technology,Do you accept gift card?,1,"The user is inquiring about payment options, specifically if gift cards can be used for purchases during the live stream."
wellnesswizards4,Digital Technology,Yes,0,"The user is likely agreeing with or confirming a previous statement, possibly about product availability, shipping, or payment methods mentioned in earlier messages."
wellnesswizards4,Digital Technology,I can ship to family to us,0,"The user is asking if the product can be shipped to their family in the US, likely seeking confirmation on international delivery options."
wellnesswizards4,Digital Technology,How do I buy?,1,"The user is asking for purchasing instructions, likely interested in the product's buying process after seeing others discuss shipping and payment methods."
wellnesswizards4,Digital Technology,Huh me!?,0,"The user is likely expressing surprise or eagerness to claim the product, possibly in response to a limited-time offer or exclusive deal mentioned in the stream."
wellnesswizards4,Digital Technology,Do you ship to Nigeria?,1,"The user is inquiring about international shipping availability to Nigeria, indicating potential purchase interest if delivery is possible."
