live_id,species,content,label,background
doveic0,Apparel & Footwear,Trying decide between candy and twilight,1,"The user is expressing hesitation in choosing between two products, likely seeking opinions or comparisons to help decide."
doveic0,Apparel & Footwear,what about 7 wide,1,"The user is likely asking about the availability or details of a product variant called ""7 wide,"" possibly comparing it to the previously mentioned ""candy"" and ""twilight"" options."
doveic0,Apparel & Footwear,heyyy,0,The user is casually greeting the streamer while likely considering the previous discussion about color choices (candy/twilight/7 wide).
doveic0,Apparel & Footwear,Are they slip resistant?,1,"The user is asking if the shoes being discussed have slip-resistant soles, likely considering them for purchase based on prior sizing and color questions."
doveic0,Apparel & Footwear,Nonslip?,1,"The user is likely asking for confirmation about the product's slip-resistant feature, following up on the previous question regarding slip resistance."
doveic0,Apparel & Footwear,Yess,0,The user likely expresses agreement or excitement about the slip-resistant feature mentioned in the previous messages.
doveic0,Apparel & Footwear,Yes,0,"The user is affirming a previous question about the product being slip-resistant, likely agreeing with the confirmation ""Yess"" in the prior context."
doveic0,Apparel & Footwear,"I had got mine yesterday, super cute and comfortable",0,"The user is sharing a positive experience with their recent purchase, likely confirming the product's comfort and quality as discussed in previous messages."
doveic0,Apparel & Footwear,USA ONLY 13~5 days priority shipping 230 days free return 324hrs customer service....,0,"The user is likely summarizing key selling points like fast US shipping, free returns, and 24/7 support to confirm purchase incentives before deciding."
doveic0,Apparel & Footwear,Size10/5,1,"The user is likely inquiring about the availability or details of a product in size 10 or 5, possibly comparing options mentioned earlier in the chat."
doveic0,Apparel & Footwear,Stretchy?,1,"The user is likely asking if the product is stretchy, possibly inquiring about its flexibility or fit based on previous discussions about sizing and comfort."
doveic0,Apparel & Footwear,Rey,0,"The user is likely asking about the product's color or style, possibly referring to a specific shade named ""Rey"" mentioned earlier in the discussion."
doveic0,Apparel & Footwear,Ordered five more pairs,0,"The user is confirming their purchase of additional items, likely influenced by positive feedback about the product's comfort and features mentioned earlier."
doveic0,Apparel & Footwear,I ordered 5 got some for my daughter,0,"The user is confirming their purchase of five items, mentioning they bought some for their daughter as well, likely responding to a product recommendation or sharing their satisfaction."
doveic0,Apparel & Footwear,number 42 how much,1,The user is asking about the price of item number 42 in the product lineup.
doveic0,Apparel & Footwear,Missed,0,"The user likely means ""I missed the information about the product details or purchasing options."""
doveic0,Apparel & Footwear,how much,1,"The user is likely inquiring about the price of a specific product mentioned earlier, possibly item number 42."
doveic0,Apparel & Footwear,location,0,The user is likely asking about the shipping location or availability for their region.
doveic0,Apparel & Footwear,Need size8.5,1,"The user is inquiring about the availability of the product in size 8.5, showing clear purchase intent."
doveic0,Apparel & Footwear,how can I get it,1,The user is likely asking about the purchasing process or delivery options for the product mentioned in the chat.
doveic0,Apparel & Footwear,Ordered,0,"The user is confirming they've placed an order, likely influenced by others' positive purchase experiences mentioned earlier."
doveic0,Apparel & Footwear,Baby pink black and yellow,1,"The user is likely asking about the available color options for the product, specifically inquiring if ""baby pink, black, and yellow"" are offered."
doveic0,Apparel & Footwear,I wearing mine today! Super comfortable and true to size!,0,"The user is enthusiastically confirming their positive experience with the product, likely responding to previous sizing/comfort inquiries while encouraging others to purchase."
doveic0,Apparel & Footwear,how much for 3,1,"The user is inquiring about the total price for purchasing three items, likely the same product mentioned in previous comments."
doveic0,Apparel & Footwear,sizes 12,1,The user is inquiring about the availability of size 12 for the product being discussed in the livestream.
doveic0,Apparel & Footwear,are these Adidas dupe,1,"The user is likely asking if the products being shown are imitation versions of Adidas, expressing curiosity about their authenticity or similarity to the brand."
doveic0,Apparel & Footwear,Thank you,0,"The user likely expresses gratitude after receiving product information or placing an order, possibly acknowledging helpful details about shipping/colors/sizes mentioned earlier."
doveic0,Apparel & Footwear,How do you put more than 1 in your cart,0,The user is asking for instructions on how to add multiple quantities of the same item to their shopping cart during the live sale.
doveic0,Apparel & Footwear,Ugh missed by seconds,0,"The user likely expresses frustration at narrowly missing out on purchasing an item due to timing, possibly referencing a limited offer or stock availability."
doveic0,Apparel & Footwear,Can show the size guide again?,1,The user is interested in purchasing and wants to confirm the sizing details before making a decision.
doveic0,Apparel & Footwear,what about the cheetah print ones?,1,The user is asking about the availability or details of the cheetah print version of the product mentioned in the live stream.
doveic0,Apparel & Footwear,why are since 19,0,The user is likely asking why the product has been available since 2019 (possibly questioning its relevance or availability duration).
doveic0,Apparel & Footwear,are they $10 too?,1,"The user is likely asking if the mentioned items also cost $10, similar to a previous purchase or offer discussed in the chat."
doveic0,Apparel & Footwear,do you have 11w,0,"The user is likely asking if the product is available in size 11 wide (11W), inquiring about size availability."
doveic0,Apparel & Footwear,it says,0,The user is likely asking for clarification or details about a product description or feature mentioned earlier in the chat.
doveic0,Apparel & Footwear,So pretty,1,"The user likely expresses admiration for the product's appearance, possibly indicating interest in purchasing it."
doveic0,Apparel & Footwear,Are they true to size?,1,"The user is asking if the product fits accurately according to standard sizing measurements, likely seeking confirmation before purchasing."
doveic0,Apparel & Footwear,Will order,0,"The user intends to purchase the product, likely influenced by positive feedback on comfort and sizing from others in the chat."
doveic0,Apparel & Footwear,pink,1,"The user is likely asking if the product is available in the pink color mentioned earlier (""Baby pink black and yellow"")."
doveic0,Apparel & Footwear,No 8.5 size?,1,The user is inquiring about the availability of size 8.5 for the product being discussed in the live stream.
doveic0,Apparel & Footwear,Black and white,1,The user is likely inquiring about the availability or details of a black and white color option for the product being discussed.
doveic0,Apparel & Footwear,Hi 2,1,"The user is likely inquiring about the price or availability of a product in size 2, following previous discussions about sizes and pricing."
doveic0,Apparel & Footwear,I will get four pairs,0,"The user intends to purchase four pairs of the discussed product, likely shoes, based on prior inquiries about sizing, pricing, and availability in the chat."
doveic0,Apparel & Footwear,Just ordered 6pairs ty,0,"The user is confirming they've purchased six pairs of the advertised shoes, likely responding to a bulk discount or color options mentioned earlier."
doveic0,Apparel & Footwear,I got me the red pair,0,The user is confirming they've purchased the red version of the product mentioned earlier in the chat.
doveic0,Apparel & Footwear,"im usually size 7,",1,The user is likely indicating their usual shoe size to check if the product fits them or to confirm availability before purchasing.
doveic0,Apparel & Footwear,Did you receive my order?,0,The user is likely confirming if their recent purchase was successfully processed and received by the seller.
doveic0,Apparel & Footwear,Kahki!,1,The user is likely asking if the product comes in a khaki color option.
doveic0,Apparel & Footwear,8.5 is my shoe size,1,"The user is confirming their shoe size (8.5) to check product availability or place an order, likely responding to previous size-related queries in the chat."
