live_id,species,content,label,background
toybetatkshop,Toy & Handicraft,hola,0,"The user is likely greeting the stream in Spanish, showing casual engagement without explicit purchase intent."
toybetatkshop,Toy & Handicraft,do you sell the new Rabeea secret? I need that one,1,"The user is inquiring about the availability of the new Rabeea Secret product, showing clear purchase intent by stating their need for it."
toybetatkshop,Toy & Handicraft,Red panda is one of the best! That fluffy tail!,1,"The user is expressing admiration for the red panda's appearance, likely showing interest in purchasing a related product mentioned earlier."
toybetatkshop,Toy & Handicraft,Yayyyy thank you!!!,0,"The user is expressing excitement and gratitude, likely in response to receiving or learning about the product mentioned earlier, such as the Rabeea secret or red panda item."
toybetatkshop,Toy & Handicraft,I will take red panda,1,"The user intends to purchase the red panda product mentioned earlier, showing clear buying interest after positive remarks about its fluffy tail."
toybetatkshop,Toy & Handicraft,Claim,0,"The user likely wants to express their intention to purchase or reserve the mentioned product, possibly the ""Red panda"" item referenced in previous messages."
toybetatkshop,Toy & Handicraft,"Would anyone like red panda? If not, I will keep..",0,"The user is playfully checking if others want the red panda before deciding to keep it for themselves, showing interest in purchasing."
toybetatkshop,Toy & Handicraft,whats the sample for Rabeea?,1,"The user is inquiring about the free sample availability for the ""Rabeea"" product, showing purchase interest based on prior mentions of the brand."
toybetatkshop,Toy & Handicraft,thats cute,1,"The user is likely expressing admiration for a product (possibly the ""red panda"" item mentioned earlier) and showing potential purchase interest by complimenting its appealing appearance."
toybetatkshop,Toy & Handicraft,red panda,1,"The user is likely expressing admiration for the red panda product and possibly indicating purchase interest, given previous mentions of its appeal."
toybetatkshop,Toy & Handicraft,Awwwe!! Red panda cute,1,"The user is expressing delighted admiration for the red panda product, likely indicating strong purchase interest after seeing others discuss it positively."
toybetatkshop,Toy & Handicraft,after can you show whats is left for rabea?,0,The user is asking the host to display the remaining stock or available items from the Rabeea collection after the current showcase.
toybetatkshop,Toy & Handicraft,Layla sorry*,0,"The user likely meant to say ""Rabeea"" instead of ""Layla"" and is apologizing for the typo while inquiring about the product."
toybetatkshop,Toy & Handicraft,whats the sample for the new Rabeea?,1,"The user is inquiring about the available samples or options for the new ""Rabeea"" product, showing interest in potentially purchasing it."
toybetatkshop,Toy & Handicraft,"Hiii rina , how are u",0,The user is likely greeting the host Rina casually while showing general engagement without immediate purchase intent.
toybetatkshop,Toy & Handicraft,When is new FYP?,0,"The user is likely inquiring about the release schedule or availability of the new ""FYP"" product, showing interest in purchasing it."
toybetatkshop,Toy & Handicraft,# 1 # 3 #5,0,"The user is likely selecting product options or indicating preferences by numbering items mentioned earlier (e.g., Red Panda/Rabeea products)."
toybetatkshop,Toy & Handicraft,elf dreamland,0,"The user is likely referring to a product named ""Elf Dreamland"" with potential interest in purchasing or inquiring about its details."
toybetatkshop,Toy & Handicraft,Bobo* hahaha,0,"The user is likely casually laughing at something amusing in the chat or stream, possibly reacting to the lighthearted tone about products like red panda or Rabeea."
toybetatkshop,Toy & Handicraft,Love hobo,1,"The user likely expresses affection for a product named ""hobo,"" possibly indicating interest in purchasing or complimenting its design."
toybetatkshop,Toy & Handicraft,I hate to say but UFT for brown puppy,1,The user reluctantly expresses interest in trading for the brown puppy item despite initial hesitation.
toybetatkshop,Toy & Handicraft,"What number are we on, yall?",0,The user is likely asking about the current item number or sequence in the product showcase to track the shopping progress.
toybetatkshop,Toy & Handicraft,I absolutely love Laylas excitement when unboxing,0,"The user admires Layla's genuine enthusiasm during the unboxing segment, indicating positive engagement with the product presentation."
toybetatkshop,Toy & Handicraft,When is next FYP?,0,"The user is likely asking about the release or availability of the next ""FYP"" (possibly a product or event) based on prior mentions of similar queries in the chat."
toybetatkshop,Toy & Handicraft,Do you have one piece labubu?,1,The user is likely asking if the labubu figure is available for purchase as a single piece rather than in a set.
toybetatkshop,Toy & Handicraft,1 3,0,The user is likely indicating their preference or selection for items numbered 1 and 3 from the showcased products.
toybetatkshop,Toy & Handicraft,Omg pressureeeeee,0,"The user is expressing excitement and feeling overwhelmed by the cuteness or appeal of the products, likely the red panda or similar items mentioned earlier."
toybetatkshop,Toy & Handicraft,Hi I was waiting you put my order,0,"The user likely means: ""Hello, I was waiting for you to process my order."""
toybetatkshop,Toy & Handicraft,Hahaha,0,"The user is likely laughing along with the lighthearted and humorous tone of the chat, possibly in response to a funny moment or playful interaction in the stream."
toybetatkshop,Toy & Handicraft,Is Sakura out?,1,"The user is likely asking if the product or item named ""Sakura"" is currently sold out or no longer available in the ongoing sale."
toybetatkshop,Toy & Handicraft,Is Layla here yet,1,"The user is likely inquiring if the host or a specific product named ""Layla"" has appeared in the livestream yet, showing anticipation for their presence or feature."
toybetatkshop,Toy & Handicraft,Hahahah,0,The user is likely laughing along with the lighthearted and humorous tone of the ongoing conversation in the chat.
toybetatkshop,Toy & Handicraft,oh love the angel,0,"The user is expressing admiration for a product or character named ""angel,"" likely referring to a cute or desirable item in the直播."
toybetatkshop,Toy & Handicraft,Haha,0,"The user is likely expressing lighthearted amusement or reacting playfully to something entertaining in the直播, possibly joining others' laughter from previous ""haha""弹幕."
toybetatkshop,Toy & Handicraft,lovely order,0,"The user likely expresses admiration for a previous order or item mentioned in the chat, possibly referring to something cute or delightful they've purchased."
toybetatkshop,Toy & Handicraft,oh nice,0,"The user likely expresses admiration or pleasant surprise towards a product or moment in the stream, possibly reacting to an appealing showcase or reveal."
toybetatkshop,Toy & Handicraft,Oooooo,0,"The user is likely expressing excitement or admiration, possibly reacting to a product reveal or an entertaining moment in the stream."
toybetatkshop,Toy & Handicraft,Love Angel pedudu!,1,"The user is expressing admiration for the ""Angel"" product, likely referencing a previous mention of ""angel"" in the chat."
toybetatkshop,Toy & Handicraft,That brown one is everything!,1,"The user is enthusiastically expressing strong admiration for the brown-colored item being shown, likely wanting to purchase or highlight it as their favorite."
toybetatkshop,Toy & Handicraft,the pink is so cute with her little dress!,1,"The user is admiring the pink item's cuteness, likely referring to a doll or figure wearing a dress, showing positive interest in the product."
toybetatkshop,Toy & Handicraft,ahhh i love the brown!,1,The user is enthusiastically expressing strong admiration for the brown-colored product being featured in the stream.
toybetatkshop,Toy & Handicraft,I will keep then,0,"The user likely means ""I will keep them,"" expressing intent to purchase or retain the items being shown in the live stream."
toybetatkshop,Toy & Handicraft,i thought brown left!! Aahhh,0,The user is expressing surprise and excitement upon realizing that the brown item (likely a product) they thought was sold out is still available in the直播.
toybetatkshop,Toy & Handicraft,Omg HAHAH,0,The user is likely expressing amused excitement or delight about something cute or appealing in the live stream.
toybetatkshop,Toy & Handicraft,omg cover!,1,"The user is excitedly expressing admiration for the ""cover"" item, likely a product featured in the直播, similar to previous enthusiastic reactions about other products."
toybetatkshop,Toy & Handicraft,any order in line for her?,0,"The user is likely asking if there are any pending orders for the mentioned product or person, possibly concerned about availability or queue status."
toybetatkshop,Toy & Handicraft,Wooooo 400%!,0,"The user is excitedly expressing amazement at a significant increase, likely referring to a product's popularity or discount, matching the enthusiastic tone of previous comments about the items."
toybetatkshop,Toy & Handicraft,Layla,0,"The user is likely asking if the product or person named ""Layla"" is currently available or being featured in the直播."
toybetatkshop,Toy & Handicraft,is qkid social phobia still ufs for anger?,0,"The user is likely asking if the product ""qkid social phobia"" is still available for purchase due to high demand or limited stock."
toybetatkshop,Toy & Handicraft,any order in line for Mia? ^^,0,"The user is likely asking if there are any pending orders for a product named ""Mia,"" expressing interest in purchasing or checking availability."
toybetatkshop,Toy & Handicraft,Here,0,The user is likely checking if a specific person or item (possibly Layla) is present or available in the直播.
toybetatkshop,Toy & Handicraft,Hiiiii Lay Lay,0,"The user is likely greeting or expressing excitement toward the host or a product named ""Lay Lay"" in a friendly, enthusiastic tone."
toybetatkshop,Toy & Handicraft,order number?,1,"The user is likely inquiring about the current order number or queue status for a product mentioned earlier, possibly referring to ""Mia"" or another item in the chat."
toybetatkshop,Toy & Handicraft,Mia fox is it the orange one?,1,"The user is likely asking if the product Mia Fox is referring to is the orange-colored one, showing interest in confirming its appearance before potential purchase."
toybetatkshop,Toy & Handicraft,Thank you!,0,"The user likely expresses gratitude for the product or service mentioned earlier, possibly in response to a successful order or helpful information."
toybetatkshop,Toy & Handicraft,what left for Mia please? ^^,1,"The user is asking if any items (likely the orange one) are still available for purchase for Mia, showing interest in buying."
toybetatkshop,Toy & Handicraft,eva or yellow with u lay,1,The user is likely asking if the EVA or yellow color option is still available for purchase with Layla's product.
toybetatkshop,Toy & Handicraft,Manda has to pick,0,"The user is likely expressing that Manda should choose or decide on something, possibly referring to selecting a product or color mentioned earlier in the chat."
toybetatkshop,Toy & Handicraft,UFC list plz,0,"The user is likely asking for a list of available UFC (possibly ""up for sale"") items in the current live stream."
toybetatkshop,Toy & Handicraft,Yes here,0,"The user is likely confirming their presence or interest in a product, possibly responding to a question about availability or order status."
toybetatkshop,Toy & Handicraft,Thank you all,0,The user is likely expressing gratitude to the host or community for the enjoyable shopping experience or helpful information shared during the stream.
toybetatkshop,Toy & Handicraft,UFC list please,0,The user is asking for an updated list of available items (likely UFC-related) that are still up for sale in the current session.
