live_id,species,content,label,background
HJ20180908,健康养生,120斤1米50,1,该用户可能是在询问适合自己身高体重（120斤、1米5）的服装尺码或产品推荐。
HJ20180908,健康养生,哺乳期可以喝吗哺乳期可以喝吗,1,该用户可能在担心产品成分对哺乳期女性的安全性，急切地寻求确认是否适合自己使用。
HJ20180908,健康养生,一单能减几斤,1,该用户可能是在询问购买该产品后的减肥效果，即“下单使用后大概能瘦多少”。
HJ20180908,健康养生,240斤拍几单,1,该用户想询问自己体重较大（240斤）的情况下需要购买多少份产品才能达到预期效果。
HJ20180908,健康养生,147拍先拍一单试试,1,该用户想表达的含义是：看到前面讨论体重和购买数量，自己决定先下单购买147元的商品试用看看效果。
HJ20180908,健康养生,减肥套餐红姐家减得很快,0,该用户想表达的含义是：红姐家的减肥套餐效果显著，让人瘦身速度很快。
HJ20180908,健康养生,我125拍了一单,0,该用户想表达的含义是：自己已经下单购买了125规格的产品。
HJ20180908,健康养生,这个几盒咖啡,1,该用户想询问购买多少盒咖啡合适。
HJ20180908,健康养生,155斤,1,该用户想表达的含义是：询问自己155斤的体重应该购买多少产品才能达到预期效果。
HJ20180908,健康养生,137斤,1,该用户是在询问自己137斤的体重应该购买多少份产品才能达到预期效果。
HJ20180908,健康养生,"我老公减了14斤,肚子明显小了好多",0,该用户想表达的含义是：这款产品确实有效，家人使用后体重明显下降。
HJ20180908,健康养生,主播多高,0,该用户可能是在询问主播的身高以评估减肥产品的效果或适用性。
HJ20180908,健康养生,那肚子怎么一一道闻一道闻的呢?,0,该用户可能是想询问产品使用后腹部脂肪是否会呈现分阶段逐渐减少的效果。
HJ20180908,健康养生,关美颜,0,该用户可能是对主播展示的产品效果真实性存疑，想确认未经过美颜处理的真实状态。
HJ20180908,健康养生,"我100斤,拍了.行吗?",1,该用户想表达的含义是：我体重100斤，已经下单购买了这款产品，不知道是否适合我的情况。
HJ20180908,健康养生,我减了7斤了,0,该用户想表达的含义是：使用产品后已经取得了明显的减肥效果。
HJ20180908,健康养生,孩子能喝吗,1,该用户是在询问该产品是否适合儿童饮用，可能出于对产品适用人群或安全性的考量。
HJ20180908,健康养生,你肚子咋那么松呢,0,该用户可能是在询问主播的减肥效果是否真实，怀疑其腹部松弛的状态与宣传的瘦身效果不符。
HJ20180908,健康养生,忌口吗,1,该用户可能在询问产品是否有饮食禁忌或服用限制。
HJ20180908,健康养生,多久可以看到效果,1,该用户想表达的含义是：询问使用产品后需要多长时间才能显现出减肥效果。
HJ20180908,健康养生,要不要多喝水?,1,该用户可能在询问产品是否需要配合大量饮水才能达到预期效果。
HJ20180908,健康养生,"红姐我喝你家减肥咖啡都减了15斤了,今天再来拍一单",1,该用户想表达的含义是：对产品效果满意并打算复购以继续使用。
HJ20180908,健康养生,吧吧的,0,该用户可能是想询问这款减肥产品的效果是否明显或见效快。
HJ20180908,健康养生,一米七190斤,1,该用户是在询问自己的身高体重（170cm/95kg）是否适合购买直播间的减肥产品。
HJ20180908,健康养生,115斤买几单,1,该用户是在询问自己115斤的体重应该购买多少份量的减肥产品。
HJ20180908,健康养生,"1米66,130斤拍几单?",1,该用户是在询问以自己身高166厘米、体重130斤的情况需要购买多少份减肥产品才能达到理想效果。
HJ20180908,健康养生,8盒吃几天啊啊啊啊啊,1,该用户想询问购买8盒产品大概能服用多长时间。
HJ20180908,健康养生,"我喝咖啡套餐减了22斤,现在男朋友也跟我一起喝",0,该用户想表达的含义是：这款减肥咖啡效果显著，自己成功减重后带动伴侣也开始尝试。
