live_id,species,content,label,background
weixue0806,美容护肤,洗面奶开好的价格吗,1,该用户是在询问洗面奶的优惠价格是否已经确定。
weixue0806,美容护肤,"点击关注领取海蓝之谜,离开无效",0,该用户想通过提醒观众关注主播来获取福利，暗示对品牌赠品有领取意愿。
weixue0806,美容护肤,没抢到,1,该用户因未能成功参与限时促销或秒杀活动而感到遗憾。
weixue0806,美容护肤,有人告诉我了,0,该用户想表达的含义是：有人已经告知我关于产品价格或优惠的信息。
weixue0806,美容护肤,印第安纹管用吗,1,该用户想询问这款产品对改善印第安纹是否有效。
weixue0806,美容护肤,痘军可以吗,1,该用户是在询问直播中提到的“痘军”产品是否适合自己使用或效果如何。
weixue0806,美容护肤,12号价格开了吗?12号价格开了吗?,1,该用户急切询问12号商品的价格是否已经公布或开始促销。
weixue0806,美容护肤,下睫毛是刷的还是贴的呀雪姐姐,1,该用户是在询问主播展示的下睫毛是通过涂抹睫毛膏还是粘贴假睫毛的方式呈现的，表现出对妆容细节的关注和潜在的购买兴趣。
weixue0806,美容护肤,姐姐还有没有,1,该用户可能在询问主播是否还有之前提到的某款商品库存或优惠活动。
weixue0806,美容护肤,洗面奶为什么付不了款,1,该用户因购买流程受阻而感到困惑，急切想知道为何无法完成洗面奶的支付操作。
weixue0806,美容护肤,有没有眼油???????????,1,该用户急切询问直播间是否在售卖眼部护理精油产品。
weixue0806,美容护肤,我想听听6号怎么用,1,该用户对6号产品的使用方法和效果感兴趣，希望主播详细讲解。
weixue0806,美容护肤,"为什么最近到处都是仿雪姐的小号呀,差点就下单了",0,该用户想表达的含义是：对近期频繁出现的模仿主播的账号感到困惑，并因难以辨别真假而险些误购。
weixue0806,美容护肤,16岁可以用哪些东西,1,该用户可能在询问适合青少年使用的护肤或美妆产品。
weixue0806,美容护肤,为什么差评那么多呢?,0,该用户对产品的质量或口碑存在疑虑，担心差评反映的实际问题会影响购买决策。
weixue0806,美容护肤,你睡衣链接可以给吗?,1,该用户对主播展示的睡衣产品产生了购买意向，希望获取商品链接以便下单。
weixue0806,美容护肤,衣服能分享链接吗,1,该用户想表达的含义是：询问主播能否提供衣服商品的购买链接以便下单。
weixue0806,美容护肤,有祛痘的产品吗,1,该用户是在询问直播间是否有针对痘痘问题的护肤产品，表现出对特定功效商品的购买兴趣和需求。
weixue0806,美容护肤,"大师和胶原面膜,二选一拍哪个",1,该用户是在询问主播推荐两款产品中的哪一款更值得购买，表现出明确的选购意向和决策需求。
weixue0806,美容护肤,你的伞还在,0,该用户可能在询问主播之前展示过的雨伞商品是否还有库存或仍在促销。
weixue0806,美容护肤,讲一下4号,1,该用户想表达的含义是：希望主播详细介绍4号产品的功能或使用方式。
weixue0806,美容护肤,敷之前需要擦水乳吗,1,该用户想询问使用该产品前是否需要先进行基础护肤步骤。
weixue0806,美容护肤,"1和4号都拍了,怎么用?[比心][比心][比心][比心][比心]",1,该用户想表达的含义是：自己已经购买了1号和4号产品，询问具体使用方法并表达对主播的喜爱和支持。
weixue0806,美容护肤,泪沟呢,1,该用户可能在询问主播推荐的产品是否能改善泪沟问题。
weixue0806,美容护肤,四季精华油,1,该用户可能在询问直播间是否有售卖或介绍适用于四季的精华油产品。
weixue0806,美容护肤,"哈哈,这会正在敷这个,真的好好用",1,该用户正在使用直播推荐的产品并表达满意和认可，暗示对产品有实际购买体验和正面评价。
weixue0806,美容护肤,"雪,你的头发是怎么养的,可以教我吗[比心][比心][比心]",0,该用户想表达的含义是：对主播的护发方法产生兴趣并希望获得相关建议。
weixue0806,美容护肤,4号怎么用啊?[捂脸],1,该用户想询问4号产品的具体使用方法，并略带困惑或调侃的语气表达自己不太清楚如何操作。
weixue0806,美容护肤,一直都用错了,0,该用户可能是在感叹自己之前使用产品的方法不正确，现在才意识到正确用法。
