live_id,species,content,label,background
porteaportefashion,Apparel & Footwear,thankyou,0,The user likely expresses gratitude for a helpful product demonstration or a positive interaction in the live stream.
porteaportefashion,Apparel & Footwear,Can anyone see my post,0,The user is likely asking if their previous message (possibly expressing gratitude) was noticed by others in the chat.
porteaportefashion,Apparel & Footwear,Afternoon guys,0,"The user is likely greeting the chat casually to engage with the audience, showing friendliness rather than direct purchase intent."
porteaportefashion,Apparel & Footwear,Oops sorry just saw the no requests my apologies,0,"The user likely realized they misunderstood the chat rules and is politely apologizing for their previous request after noticing the ""no requests"" guideline."
porteaportefashion,Apparel & Footwear,WELCOME TO THE LIVE LADIES PLEASE ENJOY  NO REQUESTS TODAY PLEASE,0,"The user is politely greeting viewers and reminding them to refrain from making requests during the live stream, likely responding to prior accidental requests."
porteaportefashion,Apparel & Footwear,Any short sets guys,1,The user is likely asking if there are any short outfit sets available for purchase in the current live session.
porteaportefashion,Apparel & Footwear,Will you be doing the pleated dresses please?,1,"The user is politely inquiring if pleated dresses will be featured in the upcoming products, despite the ""no requests"" notice, showing persistent interest in that specific item."
porteaportefashion,Apparel & Footwear,Wanted to say thank you  for last night as I got 3 pleated dresses,0,"The user is expressing gratitude for purchasing three pleated dresses mentioned earlier in the chat, confirming they successfully bought the items."
porteaportefashion,Apparel & Footwear,HEY,0,The user is likely greeting the stream casually or trying to get the host's attention in a friendly manner.
porteaportefashion,Apparel & Footwear,Deals finished,0,The user likely means they missed out on the deals or promotions mentioned earlier in the live stream.
porteaportefashion,Apparel & Footwear,hello,0,"The user is likely greeting the stream casually without strong purchase intent, similar to others saying ""HEY"" or ""Afternoon guys."""
porteaportefashion,Apparel & Footwear,Thankyou Jen,0,"The user is expressing gratitude to Jen, likely for previous assistance or purchases, in a friendly and appreciative manner."
porteaportefashion,Apparel & Footwear,Thanks Jen,0,"The user is expressing gratitude to Jen, likely for previous assistance or purchases, similar to others thanking her for items like pleated dresses."
porteaportefashion,Apparel & Footwear,thank you guys,0,"The user is expressing gratitude to the host and audience for the enjoyable shopping experience, likely referencing a recent purchase or interaction."
porteaportefashion,Apparel & Footwear,"HOW DO THE MODS NEED TO PHRASE ""NO REQUESTS"" TO BE UNDERSTOOD!!!",0,"The user is frustrated that some viewers keep ignoring the repeated ""no requests"" rule in the chat."
porteaportefashion,Apparel & Footwear,Croquet cardio,0,The user is likely asking if croquet-themed cardio workout sets or related products are available in the collection.
porteaportefashion,Apparel & Footwear,do you sell the bow sandals? They are lovely,1,"The user is politely inquiring if the bow sandals shown are available for purchase, expressing genuine interest in the product's design."
porteaportefashion,Apparel & Footwear,Abdul do you have this in a playsuit ??,1,"The user is politely inquiring if the product shown is available in a playsuit style, indicating genuine interest in purchasing that variation."
porteaportefashion,Apparel & Footwear,What size is it please,1,The user is likely inquiring about the available size options for a product they're interested in purchasing.
porteaportefashion,Apparel & Footwear,Wow cheaper than last years,0,The user is pleasantly surprised that the current price is lower compared to the previous year's offer.
porteaportefashion,Apparel & Footwear,what size please?,1,The user is inquiring about the available sizing options for a product mentioned earlier in the live stream.
porteaportefashion,Apparel & Footwear,do you have this in a playsuit ??,1,"The user is politely inquiring if the showcased item is available in a playsuit variation, showing genuine interest in purchasing that specific style."
porteaportefashion,Apparel & Footwear,"LADIES,  PLEASE. PLEASE GIVE THE TEAM AND EACH OTHER THE RESPECT THEY DESERVE.",0,"The user is urging the audience to maintain respect towards the team and fellow viewers, likely in response to previous disruptive or demanding comments."
porteaportefashion,Apparel & Footwear,I wear. this round the house,0,"The user is casually mentioning they wear the item at home, implying they already own it and might be interested in similar or matching products."
porteaportefashion,Apparel & Footwear,What sizing,1,The user is asking about the available sizes for a product mentioned in the live stream.
porteaportefashion,Apparel & Footwear,we are beautiful in all.sizes,0,"The user likely supports body positivity and inclusivity, suggesting the brand should cater to all body types."
