live_id,species,content,label,background
costmochoose,Digital Technology,I got mine! Thank you,0,The user is expressing satisfaction and gratitude for having purchased the product mentioned in the livestream.
costmochoose,Digital Technology,Where do they ship from?,1,The user is likely interested in purchasing and wants to know the shipping origin to estimate delivery time or costs.
costmochoose,Digital Technology,"Yay, ty so much!",0,"The user is expressing gratitude and excitement, likely after receiving their order or helpful information from the host."
costmochoose,Digital Technology,Just ordered mine thank you,0,The user is confirming their purchase and expressing gratitude for the product or service.
costmochoose,Digital Technology,order,0,"The user likely intends to confirm their purchase by stating they've placed an order, following others' positive shopping experiences in the chat."
costmochoose,Digital Technology,Thanks,0,"The user likely expresses gratitude after making a purchase, similar to previous thankful comments about orders."
costmochoose,Digital Technology,"Just place my order, yeeeehhh",0,"The user is excitedly confirming their recent purchase, joining others who've already ordered."
costmochoose,Digital Technology,Hello,0,"The user likely wants to greet the stream casually or check if the host is active, without immediate purchase intent."
costmochoose,Digital Technology,Shipping is $6,0,"The user is likely inquiring about the shipping cost to finalize their purchase decision, showing interest but seeking confirmation before ordering."
costmochoose,Digital Technology,Is the shipping is free ?,1,The user is likely interested in purchasing but wants to confirm if there are any shipping fees involved.
costmochoose,Digital Technology,Maryland bro,0,"The user is likely expressing regional camaraderie or asking if the product ships to Maryland, based on prior shipping-related discussions."
costmochoose,Digital Technology,Waiting,0,The user is likely expressing anticipation for their order confirmation or asking about shipping status based on the context of recent purchase-related messages.
costmochoose,Digital Technology,Ok I just ordered,0,"The user is confirming their purchase with enthusiasm, likely influenced by others' positive ordering experiences and shipping-related discussions in the chat."
costmochoose,Digital Technology,Yes,0,The user is likely confirming their purchase or agreement with the ongoing discussion about orders and shipping.
costmochoose,Digital Technology,How long to reach Maryland,0,"The user is likely asking about the estimated delivery time to Maryland, showing interest in purchasing after seeing others place orders."
costmochoose,Digital Technology,i want in tenerife spain,0,"The user is likely asking if the product can be shipped to Tenerife, Spain, similar to previous shipping-related inquiries in the chat."
costmochoose,Digital Technology,how much ???,1,"The user is inquiring about the price of the product, likely with purchase intent, following others' discussions about orders and shipping."
costmochoose,Digital Technology,I need more time please,0,The user is likely requesting additional time to decide or complete their purchase due to the ongoing order discussions and shipping inquiries in the chat.
costmochoose,Digital Technology,White,1,The user likely wants to confirm if the product is available in white color or is inquiring about white-colored options.
