live_id,species,content,label,background
new_kitchen168,Daily Essentials,tonto knife price,1,"The user is likely inquiring about the cost of the ""tonto knife"" featured in the stream."
new_kitchen168,Daily Essentials,show the one behind,1,"The user is likely asking to see the product displayed behind the current item, possibly comparing it with the previously mentioned ""tonto knife."""
new_kitchen168,Daily Essentials,Yes,0,"The user likely agrees with a previous suggestion or confirms interest in a product mentioned earlier, such as the knife or the item behind."
new_kitchen168,Daily Essentials,That not 7 on the list,0,"The user is likely pointing out a discrepancy or error in the displayed list, possibly referring to an item's position not matching their expectation."
new_kitchen168,Daily Essentials,Yes that one,0,"The user is confirming their interest in purchasing the specific item being shown or mentioned, likely referring to the one behind or not listed as number 7."
new_kitchen168,Daily Essentials,Like the mini chopper,1,"The user expresses interest in the mini chopper, likely agreeing with or admiring it after seeing other products discussed."
new_kitchen168,Daily Essentials,lmfao,0,"The user is likely laughing at something amusing in the直播, possibly reacting to the mini chopper or previous comments."
new_kitchen168,Daily Essentials,grown man,0,"The user is likely sarcastically commenting on a product's size or strength, implying it's not suitable for adult men."
new_kitchen168,Daily Essentials,can i get a knife that shoots missles?,1,"The user is likely joking or exaggerating interest in an unrealistic, extreme version of the knives being showcased, playing along with the playful tone of previous comments."
new_kitchen168,Daily Essentials,free shipping is crazy,0,The user is excitedly expressing surprise or enthusiasm about the unexpectedly generous free shipping offer in the live stream.
new_kitchen168,Daily Essentials,do you have any mini tomahawkz,1,"The user is inquiring about the availability of small tomahawk-style products, likely referencing earlier discussions about knives and mini choppers in the chat."
new_kitchen168,Daily Essentials,Beautiful,0,"The user likely expresses admiration for a product's appearance, possibly referring to a knife or mini chopper shown earlier."
new_kitchen168,Daily Essentials,How much is that,1,"The user is likely inquiring about the price of a specific product mentioned earlier, possibly the mini chopper or mini tomahawks, showing genuine purchase interest."
new_kitchen168,Daily Essentials,Tacos,0,The user is likely asking if the tacos shown or mentioned earlier in the stream are available for purchase.
new_kitchen168,Daily Essentials,The number 11 one can it cut dill dough bread?,1,"The user is likely asking if the 11th item (possibly a knife) can effectively slice dill-infused bread dough, expressing interest in its functionality."
new_kitchen168,Daily Essentials,I think that one is broke,0,"The user likely means ""I believe that item appears to be damaged or not functioning properly."""
new_kitchen168,Daily Essentials,Dang man,0,"The user is likely expressing amused disbelief or surprise at something exaggerated or ridiculous in the直播, like the missile knife joke earlier."
new_kitchen168,Daily Essentials,which is deadliest?,0,The user is likely asking which product shown in the demo is the most dangerous or lethal among the displayed knives and weapons.
new_kitchen168,Daily Essentials,I curently have a Coast Lx315 poket,0,The user likely means they already own a Coast LX315 pocket flashlight and might be comparing it to the current products being shown.
new_kitchen168,Daily Essentials,u gonna answer my question bro,0,The user is impatiently asking the host to respond to their previous unanswered question about the products.
new_kitchen168,Daily Essentials,you funny af,0,"The user is likely amused by the host's humor or the content, showing engagement rather than direct purchase interest."
new_kitchen168,Daily Essentials,i want a knife that shoots missles,1,"The user is humorously exaggerating their interest in an extreme or fictional weapon, likely joining the playful tone of previous comments about knives."
new_kitchen168,Daily Essentials,Show 41,1,The user is likely asking to display or demonstrate item number 41 from the product list.
new_kitchen168,Daily Essentials,ight bruh,0,"The user is likely expressing casual agreement or acknowledgment, possibly in response to a humorous or exaggerated comment about the products."
new_kitchen168,Daily Essentials,Can we see the spades card one,1,"The user is likely asking to view a specific product (possibly a knife or tool named ""spades card"") shown earlier in the直播."
new_kitchen168,Daily Essentials,Good morning,0,"The user is likely greeting the stream casually without specific purchase intent, aligning with the informal, mixed-topic chat atmosphere."
new_kitchen168,Daily Essentials,No the mini pocket knife,0,"The user is not interested in the mini pocket knife and likely prefers a different or more extreme tool, possibly referencing earlier jokes about missile-shooting knives."
new_kitchen168,Daily Essentials,Very small,0,"The user likely means ""The size of the product seems too compact for practical use."""
new_kitchen168,Daily Essentials,do you have samurai swords?,1,"The user is inquiring about the availability of samurai swords in the product lineup, likely out of genuine interest in purchasing one."
new_kitchen168,Daily Essentials,8 and 9,0,The user is likely asking about the prices or details of items numbered 8 and 9 in the product lineup.
new_kitchen168,Daily Essentials,The small ones you just showed,0,The user is likely asking to see the small items or mini pocket knives that were previously displayed again for closer inspection or purchase consideration.
new_kitchen168,Daily Essentials,How to buy pocket knifes?,1,"The user is inquiring about the purchasing process for pocket knives, showing genuine interest in buying one based on the ongoing discussion about knife features and options."
new_kitchen168,Daily Essentials,oh okay,0,"The user likely acknowledges a response or information passively, possibly indicating mild interest or waiting for more details without strong enthusiasm."
new_kitchen168,Daily Essentials,small key chain knife,1,The user is likely inquiring about the availability or details of a compact keychain-sized knife shown in the直播.
