live_id,species,content,label,background
seethewayisee,Clothing and Footwear,I NEED THAT 988 HOODIE!!!,1,"The user is enthusiastically expressing a strong desire to purchase the 988 hoodie, likely reacting to seeing it featured in the livestream."
seethewayisee,Clothing and Footwear,flash sale on the shorts again please ??,1,"The user is asking if the shorts will be restocked soon for another flash sale, showing interest in purchasing them like the previous hoodie mention."
seethewayisee,Clothing and Footwear,I love the new material! I have the OG OG,1,"The user is excited about the new material and mentions owning the original version, showing strong interest in the product line."
seethewayisee,Clothing and Footwear,indecisive hoodie...sweats!,1,"The user is excited but torn about choosing between the hoodie and sweats, likely influenced by others' enthusiasm for similar items."
seethewayisee,Clothing and Footwear,KEEP TAPPING !!!,0,"The user is likely urging the host to keep showcasing or restocking popular items, showing excitement and impatience for more product reveals."
seethewayisee,Clothing and Footwear,I only have the bow one. I need more.,1,The user likely means they currently own just the bow item and are interested in purchasing more products from the collection.
seethewayisee,Clothing and Footwear,Flash sale on sweat pants please,1,"The user is requesting a limited-time discount on sweatpants, showing strong purchase intent similar to others seeking deals on specific items in the live stream."
seethewayisee,Clothing and Footwear,I would love Worrier hoodie on sale,1,"The user is expressing strong interest in purchasing the Worrier hoodie if it goes on sale, influenced by others' enthusiasm for similar items in the chat."
seethewayisee,Clothing and Footwear,Do you have medium size?,1,"The user is inquiring about the availability of a medium-sized product, likely expressing interest in purchasing it if the size is in stock."
seethewayisee,Clothing and Footwear,I should get that for my daughter!,0,"The user is expressing a strong desire to purchase the mentioned item for their daughter, likely influenced by the enthusiastic shopping atmosphere and product discussions in the chat."
seethewayisee,Clothing and Footwear,can you make it a large,1,"The user is likely asking if the product they're interested in is available in a larger size, possibly referring to a hoodie or sweats mentioned earlier."
seethewayisee,Clothing and Footwear,Last pancake crew ????,1,"The user is likely asking if the last item in the ""pancake crew"" collection is still available or expressing interest in purchasing it."
seethewayisee,Clothing and Footwear,im new today but have been here for a little while today,0,"The user is casually mentioning they're new to the stream but have been watching for some time, possibly to engage with the community before making purchase decisions."
seethewayisee,Clothing and Footwear,Which is your favorite so far?,0,"The user is likely asking the host which product they personally prefer among the ones shown so far, possibly seeking recommendations or validation before making a purchase decision."
seethewayisee,Clothing and Footwear,988 hoodie - next flash sale?,0,"The user is asking if the 988 hoodie will be featured in the next flash sale, showing clear interest in purchasing it at a discounted price."
seethewayisee,Clothing and Footwear,Anxiety crewneck?,1,"The user is likely asking if the ""Anxiety crewneck"" will be included in an upcoming flash sale or available for purchase soon."
seethewayisee,Clothing and Footwear,The tshirts are oversized yes?,1,"The user is likely asking for confirmation about the fit of the tshirts, possibly considering a purchase if they're intentionally oversized."
seethewayisee,Clothing and Footwear,Yes,0,"The user is likely confirming a previous statement about the T-shirts being oversized, showing agreement or understanding."
seethewayisee,Clothing and Footwear,Oh here we go guys??,0,"The user is likely expressing excitement or anticipation for an upcoming product or flash sale mentioned in previous comments, possibly the 988 hoodie or similar items."
seethewayisee,Clothing and Footwear,Tap tap !!,0,The user is likely excitedly encouraging others to keep tapping for a flash sale or expressing their own eagerness to participate in the interactive shopping event.
seethewayisee,Clothing and Footwear,Thank you jade!!!!,0,"The user is expressing gratitude and excitement, likely in response to a flash sale or special offer on a jade-related product mentioned earlier in the chat."
seethewayisee,Clothing and Footwear,Hello!,0,"The user is likely greeting the stream or trying to get the host's attention casually, possibly as a newcomer joining the active shopping discussion."
