live_id,species,content,label,background
popodfactory,Apparel & Footwear,are you sold out of Libra & Scorpio,1,"The user is asking if the Libra and Scorpio products are still available for purchase, indicating interest in buying them."
popodfactory,Apparel & Footwear,July?,0,"The user is likely asking if the ""July"" zodiac-themed product is still available, following up on the previous question about Libra and Scorpio items."
popodfactory,Apparel & Footwear,Can we see April,0,"The user is likely asking to view the product for April, similar to how others inquired about Libra, Scorpio, and July."
popodfactory,Apparel & Footwear,do those come in purple,1,"The user is asking if the product is available in purple, likely inquiring about color options for items previously mentioned like zodiac-themed or monthly products."
popodfactory,Apparel & Footwear,gorgeous,0,"The user likely means ""Is the 'gorgeous' color/style available?"" referring to a product previously shown, following others asking about specific months/colors."
popodfactory,Apparel & Footwear,I love that shirt,0,The user is expressing strong admiration for the shirt and likely intends to inquire about purchasing it.
popodfactory,Apparel & Footwear,I see a large,0,The user likely wants to ask if a larger size is available for the item being shown.
popodfactory,Apparel & Footwear,let me see a medium,1,"The user is requesting to view the product in a medium size, likely interested in purchasing after seeing others ask about different sizes and colors."
popodfactory,Apparel & Footwear,does pieces come in purple,1,"The user is asking if the zodiac-themed items (likely mentioned earlier) are available in purple, showing interest in purchasing that color variant."
popodfactory,Apparel & Footwear,nevermind just my sister is march my niece is April I have two nieces in April,0,"The user is clarifying their interest in the April product by mentioning family members' birth months, indicating they might want to purchase items related to those months."
popodfactory,Apparel & Footwear,Do you have extra coupon,1,The user is likely inquiring about additional discounts to potentially purchase an item after noticing others discussing product availability and colors.
popodfactory,Apparel & Footwear,October,0,"The user is likely asking if the product is available in the October design or variation, similar to previous inquiries about other months."
popodfactory,Apparel & Footwear,Libra,0,"The user is likely asking if the Libra zodiac-themed product is available, similar to previous inquiries about other zodiac signs."
popodfactory,Apparel & Footwear,Are they true to size?,1,The user is asking if the clothing items fit as expected based on standard sizing measurements.
popodfactory,Apparel & Footwear,Virgo??,0,"The user is likely asking if the Virgo zodiac sign product is available, similar to previous inquiries about Libra, Scorpio, and other signs."
popodfactory,Apparel & Footwear,December,0,"The user is likely asking if the product is available in the December version or design, similar to previous inquiries about other months/zodiac signs."
popodfactory,Apparel & Footwear,Cancer please,1,"The user is likely asking if the product is available in the Cancer zodiac sign variation, following the previous inquiries about other zodiac options."
popodfactory,Apparel & Footwear,September??,0,"The user is likely asking if the product is available in the September design/version, similar to previous inquiries about other months."
popodfactory,Apparel & Footwear,love the purple in blank,1,"The user is expressing admiration for the purple color option in the blank (product), likely inquiring about its availability or confirming their preference."
popodfactory,Apparel & Footwear,What is shipping time and cost,0,The user is inquiring about the delivery duration and associated fees for purchasing the mentioned zodiac-themed items.
popodfactory,Apparel & Footwear,whats the pieces flower,1,The user is likely asking if the Pisces zodiac-themed product is available in the floral design or color option mentioned earlier.
popodfactory,Apparel & Footwear,"Can you show me the flowers, shirt, size, medium?",1,"The user is asking to see the floral shirt in a medium size, likely interested in purchasing it after seeing others inquire about colors and sizes."
popodfactory,Apparel & Footwear,Aquarius,0,"The user is likely asking if the product is available in the Aquarius zodiac sign design, similar to previous inquiries about other zodiac signs."
popodfactory,Apparel & Footwear,Do you have acid wash green,1,"The user is inquiring if the product is available in an acid-washed green color variant, showing specific interest in that style and shade."
popodfactory,Apparel & Footwear,Can I see pink Gemini,1,The user is likely asking to view the pink version of the Gemini zodiac-themed product mentioned earlier in the chat.
popodfactory,Apparel & Footwear,November,0,The user is likely sharing their birth month or zodiac sign (Scorpio/Sagittarius) in response to others discussing birthdays or astrology.
popodfactory,Apparel & Footwear,ok thank you,0,"The user likely acknowledges receiving helpful information or assistance regarding their query about product details, colors, or sizes."
popodfactory,Apparel & Footwear,spend $35 and above to get FREE SHIPPING!!,0,The user is likely asking for clarification on the free shipping promotion's minimum purchase requirement.
popodfactory,Apparel & Footwear,January,0,The user is likely sharing their birth month or zodiac sign (Capricorn) as part of a trend where others are mentioning dates/astrology.
popodfactory,Apparel & Footwear,do come in long sleeve or just short sleeve,0,"The user is asking whether the product is available in both long and short sleeve options, likely referring to a shirt mentioned earlier in the chat."
popodfactory,Apparel & Footwear,Oh nevermind,0,The user likely lost interest or changed their mind after seeing the responses or details about the product.
popodfactory,Apparel & Footwear,Are these just blank shirts?,1,"The user is likely asking if the shirts are plain/unprinted, possibly comparing them to other mentioned designs like flowers or zodiac signs."
popodfactory,Apparel & Footwear,March?,0,"The user is likely asking if the product is available in the March zodiac sign design, similar to previous inquiries about other zodiac signs."
popodfactory,Apparel & Footwear,How do I Order a March? and a blank?,1,"The user is likely asking how to order shirts with the ""March"" and ""blank"" designs mentioned earlier in the chat."
popodfactory,Apparel & Footwear,March is my little sister and nieces birth month,0,"The user is likely inquiring if there are special products or discounts for March birthdays, referencing their sister and niece."
popodfactory,Apparel & Footwear,Flash sale,0,The user is likely asking if there's a limited-time discount or promotional sale happening soon.
popodfactory,Apparel & Footwear,so the zodiac signs Shirts the Shipping is $5.99 right?,1,"The user is confirming if the shipping cost for the zodiac sign shirts is $5.99, likely referencing a previous mention of shipping fees."
popodfactory,Apparel & Footwear,I can contact you in mag I can pay you for the next one 4$ more,0,The user likely wants to privately message the seller on Instagram to purchase an item (possibly a zodiac shirt) and is willing to pay $4 extra for it.
