live_id,species,content,label,background
gibson_made,Outdoor Sports,yes seeing 309,0,"The user likely means ""Yes, I see the product priced at 309 (units)."" expressing acknowledgment of a displayed price or deal."
gibson_made,Outdoor Sports,can we hear it run,1,The user is likely asking to hear the product (possibly a machine or device) in operation to assess its performance or quality.
gibson_made,Outdoor Sports,Ordered,0,"The user likely means ""I've just placed an order"" to confirm their purchase after seeing/hearing the product demonstration mentioned in previous messages."
gibson_made,Outdoor Sports,Keeps telling to select color,0,The user is frustrated that the host repeatedly prompts to choose a color without demonstrating the product's functionality as requested earlier.
gibson_made,Outdoor Sports,where do I find the note to seller ?,1,"The user is asking for guidance on locating the seller's note section, likely to add specific instructions before completing their purchase."
gibson_made,Outdoor Sports,I am,0,"The user is likely asking about the purchasing process or confirming their order status, possibly inquiring where to input details like ""I am"" as a response to a prompt."
gibson_made,Outdoor Sports,is it a 50 amp,1,"The user is likely asking if the product has a 50-amp capacity, seeking technical specifications confirmation before purchasing."
gibson_made,Outdoor Sports,go solar! I did.,0,"The user is expressing enthusiasm about going solar, likely indicating they've already purchased or decided to switch to solar energy themselves."
gibson_made,Outdoor Sports,I burn tires for heat,0,The user is likely expressing skepticism or humor about the product's energy efficiency by sarcastically suggesting extreme alternatives like burning tires.
gibson_made,Outdoor Sports,Start it! How quite is it,0,The user is likely asking to begin the product demonstration and inquiring about its noise level during operation.
gibson_made,Outdoor Sports,Looks nice. Whats the run time,1,The user is likely interested in purchasing and asking about the product's operational duration after finding its appearance appealing.
gibson_made,Outdoor Sports,Is it quite,1,"The user is likely asking about the noise level of the product, following up on the previous question ""How quite is it"" with a typo (""quite"" instead of ""quiet"")."
gibson_made,Outdoor Sports,how do i contact you. I want to make sure the right shipping address,1,The user is interested in purchasing but wants to confirm the correct shipping details before proceeding with the order.
gibson_made,Outdoor Sports,I bought 1,0,"The user is confirming their purchase of the item, likely responding to a prompt or offer during the live stream."
gibson_made,Outdoor Sports,Where are these made???,1,The user is likely inquiring about the product's manufacturing origin out of genuine interest in its quality or ethical production before considering a purchase.
gibson_made,Outdoor Sports,"Me, but I have more questions",0,The user is interested in purchasing but needs more information before making a decision.
gibson_made,Outdoor Sports,Is it gas or propane?,1,The user is likely asking about the fuel type of the product to confirm specifications before purchasing.
gibson_made,Outdoor Sports,How much for the suitcase generator???,1,"The user is inquiring about the price of the suitcase generator, showing clear purchase interest by seeking specific cost details."
gibson_made,Outdoor Sports,It is better to have and not need than to NEED AND NOT HAVE!,0,"The user is emphasizing the importance of owning the product (likely the generator) as a precaution, implying they'd rather have it unused than face a need without it."
gibson_made,Outdoor Sports,How much for the suitcase mumuummuummuummuumummumumumumumuummumumumuumumummuuumummumumuumumummuumumm,1,"The user is likely asking about the price of the suitcase generator, possibly with a playful or impatient tone due to the repeated typing."
gibson_made,Outdoor Sports,any solar?,1,The user is likely inquiring if the product being discussed is related to solar energy or has solar-powered options.
gibson_made,Outdoor Sports,Thanks,0,"The user likely expresses gratitude or acknowledgment, possibly after receiving an answer or placing an order, based on the previous purchase-related interactions in the chat."
gibson_made,Outdoor Sports,"I see you pointing at 4450, the sell says for 4400, difference?",1,"The user is questioning the price discrepancy between the displayed amount (4450) and the seller's offer (4400), likely seeking clarification before purchasing."
gibson_made,Outdoor Sports,"Perfect, thank you",1,"The user likely expresses satisfaction with a resolved query or received assistance, indicating a positive interaction without immediate purchase intent."
gibson_made,Outdoor Sports,Where is it made ?,1,The user is likely inquiring about the product's manufacturing origin to assess its quality or authenticity.
gibson_made,Outdoor Sports,How much,1,The user is likely inquiring about the price of the suitcase generator mentioned earlier in the chat.
gibson_made,Outdoor Sports,I want one,1,The user is expressing a clear intention to purchase the product being discussed in the live stream.
gibson_made,Outdoor Sports,Just bought mine,0,The user is confirming their purchase of the product being discussed in the live stream.
gibson_made,Outdoor Sports,Electric start?,1,"The user is likely inquiring whether the product (possibly a generator) features an electric start function, showing interest in its convenience and ease of use."
gibson_made,Outdoor Sports,is it made in usa?,1,"The user is inquiring about the product's manufacturing origin to assess its quality or authenticity, likely influenced by previous questions about production location."
gibson_made,Outdoor Sports,does it have wheels?,1,The user is likely asking if the product (possibly a suitcase generator mentioned earlier) comes with wheels for easier mobility.
gibson_made,Outdoor Sports,I just place my order  compa,0,"The user is confirming they've placed an order while possibly addressing the host casually (""compa"" as slang for ""compadre"")."
gibson_made,Outdoor Sports,just bought,0,The user is confirming their recent purchase of the product being discussed in the live stream.
gibson_made,Outdoor Sports,How do i order?,1,The user is likely interested in purchasing and is asking for guidance on the ordering process.
gibson_made,Outdoor Sports,Placed an order as well,0,"The user is confirming their purchase, likely influenced by others who recently ordered the product."
gibson_made,Outdoor Sports,yes I did,0,"The user is confirming they have also placed an order, likely responding to others' purchase announcements like ""just bought"" or ""Placed an order as well."""
gibson_made,Outdoor Sports,$326,0,"The user is likely asking for the price of the item, following the pattern of previous inquiries about cost."
gibson_made,Outdoor Sports,the 2500,0,"The user is likely inquiring about the price of the item mentioned as ""2500"" or confirming if it costs $2500."
gibson_made,Outdoor Sports,I got mine,0,"The user is confirming they have purchased the product, likely influenced by others in the chat who recently placed orders."
gibson_made,Outdoor Sports,do have a chargeable power station,1,"The user is likely asking if the power station comes with a rechargeable battery or charging capability, showing interest in its functionality."
gibson_made,Outdoor Sports,What is it,1,The user is likely asking for more details or clarification about the product being discussed in the直播.
gibson_made,Outdoor Sports,Are you going to sell the 2500?,1,"The user is likely asking if the product model ""2500"" will be available for purchase soon, indicating interest in buying it."
gibson_made,Outdoor Sports,can you send it to Africa?,1,"The user is likely inquiring about international shipping to Africa, showing interest in purchasing the product if delivery is available there."
gibson_made,Outdoor Sports,Does it run on diesel?,1,"The user is likely inquiring about the fuel type of the product, possibly comparing it to electric options mentioned earlier."
gibson_made,Outdoor Sports,Is it on sale? 299?,1,"The user is inquiring if the product is currently discounted to $299, showing clear purchase intent by comparing prices mentioned earlier."
gibson_made,Outdoor Sports,How many watts will operate a home?,1,The user is likely inquiring about the power capacity needed to run household appliances with the product being discussed.
gibson_made,Outdoor Sports,Is it for sale now?,1,"The user is likely inquiring about the current availability and purchasing status of the product, possibly prompted by others discussing orders and pricing."
gibson_made,Outdoor Sports,It tells me out of stock,1,The user is expressing frustration or disappointment that the product they're interested in is currently unavailable for purchase.
gibson_made,Outdoor Sports,what about that smaller one,1,The user is likely inquiring about the availability or details of a smaller version of a product mentioned earlier in the直播.
gibson_made,Outdoor Sports,shipping cost?,1,"The user is likely inquiring about the delivery fees for the product, showing potential purchase interest after seeing others discuss orders and availability."
gibson_made,Outdoor Sports,Can it power the lights in the house,1,The user is inquiring whether the product (likely a power station) has sufficient capacity to supply electricity for household lighting needs.
