live_id,species,content,label,background
bigbosswarehouse,Daily Essentials,Is it AA batteries Sam?,1,The user is inquiring about whether the product being discussed uses AA batteries.
bigbosswarehouse,Daily Essentials,I like them,0,The user is expressing an interest or preference for a particular product or item.
bigbosswarehouse,Daily Essentials,summer house,0,"The user is likely expressing interest in purchasing a summer house, considering the context of the previous chat messages."
bigbosswarehouse,Daily Essentials,airing cupboard,1,"The user may be indicating their interest in purchasing an airing cupboard, possibly considering it as a potential storage solution for their home."
bigbosswarehouse,Daily Essentials,Good morning,0,The user is likely expressing a general greeting or pleasantries.
bigbosswarehouse,Daily Essentials,Link 1 set 10.. motion sensor lights.. 10 for 4,0,The user is showing interest in purchasing motion sensor lights in bulk at a discounted price.
bigbosswarehouse,Daily Essentials,Perfect thanks,0,The user is expressing satisfaction or approval towards something mentioned or shown in the live stream.
bigbosswarehouse,Daily Essentials,Do you know when the charging wires I brought last week should be with us ?.,0,The user is inquiring about the delivery status of the charging wires purchased last week.
bigbosswarehouse,Daily Essentials,what is it please,1,The user is likely seeking information or clarification about a specific product or item being discussed in the live stream.
bigbosswarehouse,Daily Essentials,Got 2 sets are they AA?,0,The user is inquiring whether the items they have purchased are compatible with AA batteries.
bigbosswarehouse,Daily Essentials,loft hatch,0,"The user may be expressing interest in purchasing a loft hatch, considering the previous discussions about various household items and inquiries about specific features such as batteries and charging wires."
bigbosswarehouse,Daily Essentials,Burger van,1,The user is expressing interest in a burger van.
bigbosswarehouse,Daily Essentials,bargain,0,The user is potentially expressing interest in finding a good deal or negotiating a lower price during the live shopping event.
bigbosswarehouse,Daily Essentials,Ordered 1,0,The user is expressing that they have just made a purchase.
bigbosswarehouse,Daily Essentials,Sam you got any of them in dartford?,1,The user is inquiring whether the product is available in the specific location of Dartford.
bigbosswarehouse,Daily Essentials,Guys Check us Out,0,"The user is indicating that they want others to check out something, possibly a product or a website."
bigbosswarehouse,Daily Essentials,only just missed out,0,The user is expressing regret or disappointment in not being able to purchase something they were interested in.
bigbosswarehouse,Daily Essentials,Just got my Duvet and garden post lights. Brilliant as always. Thanks,0,"The user is expressing satisfaction with their recent purchase of a duvet and garden post lights, indicating a positive experience with the products."
bigbosswarehouse,Daily Essentials,450 to go for matts marathon goal,0,The user is expressing interest in contributing to reaching the marathon goal for Matt by stating the amount left to reach the target.
bigbosswarehouse,Daily Essentials,any ritual gift set,1,The user is likely expressing interest in purchasing a ritual gift set.
bigbosswarehouse,Daily Essentials,what number are the cups,1,The user is likely inquiring about the sizes or quantities of cups available for purchase during the live stream.
bigbosswarehouse,Daily Essentials,450 fidget toy go,0,The user is expressing interest in purchasing a fidget toy priced at 450 units.
bigbosswarehouse,Daily Essentials,Got my chairs they are lovely thank you,0,The user is expressing satisfaction and gratitude for receiving their ordered chairs.
bigbosswarehouse,Daily Essentials,what are the bathroom set you was just on about ?,1,The user is inquiring about the specific bathroom set that was recently discussed in the live stream.
bigbosswarehouse,Daily Essentials,Ordered,0,The user is likely expressing their excitement or satisfaction after making a purchase during the live stream.
bigbosswarehouse,Daily Essentials,These are amazing value and heavy,0,The user is impressed by the value and quality of the products being offered in the live stream.
bigbosswarehouse,Daily Essentials,I received mine yesterday they are lush,0,"The user is expressing satisfaction with a recent purchase, indicating that they received their order and are happy with it."
bigbosswarehouse,Daily Essentials,ì have 6 of the bath set and they are truly nice,0,The user is expressing their satisfaction with the bath set they have purchased and indicating that they find them to be of high quality.
bigbosswarehouse,Daily Essentials,Got 4 sets thank you!,0,The user is expressing satisfaction and gratitude for purchasing 4 sets of products during the live stream.
bigbosswarehouse,Daily Essentials,Ordered 3 thank you,0,"The user expressed interest in purchasing by stating ""Ordered 3 thank you""."
bigbosswarehouse,Daily Essentials,Can I see Greek blanket please,1,The user is likely asking to see a Greek blanket because they are interested in potentially purchasing one during the live stream.
bigbosswarehouse,Daily Essentials,received my 1 mystery item ordered 20 amazing value,0,"The user is expressing satisfaction with the mystery item they ordered, emphasizing its value and the positive experience of receiving it."
bigbosswarehouse,Daily Essentials,are you doing pillows today aswell?,1,The user is inquiring about the availability of pillows for sale during the live stream.
bigbosswarehouse,Daily Essentials,Hey Sam i just received an email my order is cancelled!!!,0,The user is expressing their disappointment and frustration at receiving an email stating that their order has been cancelled.
bigbosswarehouse,Daily Essentials,thank you,0,The user may be expressing gratitude or appreciation for the information or products shared during the live stream.
bigbosswarehouse,Daily Essentials,I love minex,1,The user is likely expressing their admiration or appreciation for minex products.
bigbosswarehouse,Daily Essentials,Thanks for showing,0,The user is expressing gratitude and appreciation for the content or products being shown in the live stream.
bigbosswarehouse,Daily Essentials,I want one of these but do I need it?,0,The user is expressing uncertainty about whether they need the product despite wanting it.
bigbosswarehouse,Daily Essentials,the ritual bath sets I was talking about,1,The user is likely expressing interest in the ritual bath sets mentioned previously during the live stream.
bigbosswarehouse,Daily Essentials,Please can I see Greek throw,1,"The user is expressing interest in seeing a Greek throw, possibly indicating a desire to purchase one."
bigbosswarehouse,Daily Essentials,"just ordered 4, is it possible to have a variety please",1,The user is expressing their desire for a variety of items in their order.
bigbosswarehouse,Daily Essentials,Have you shown the throws ?,0,The user is likely asking if the Greek throws have been displayed or featured in the livestream.
bigbosswarehouse,Daily Essentials,Throws please,0,The user is expressing a desire for the host to showcase or feature the Greek throws in the live stream.
bigbosswarehouse,Daily Essentials,"got my pillows yesterday, really lovely. thankyou",0,The user expressed satisfaction with their recent purchase of pillows and thanked the seller for the lovely product.
bigbosswarehouse,Daily Essentials,How good are they,1,The user is likely inquiring about the quality or effectiveness of the products being discussed in the live stream.
bigbosswarehouse,Daily Essentials,Just making more ice cream thanks to big boss,0,The user is likely indicating that they are currently making more ice cream due to the influence or suggestion of a higher authority or a figure of authority in their life.
bigbosswarehouse,Daily Essentials,Big one all stacked up,0,The user is expressing interest in purchasing a large quantity of items or products.
bigbosswarehouse,Daily Essentials,"These are really loud, well worth the money!!",1,The user is expressing satisfaction with the product and believes it is worth the money.
bigbosswarehouse,Daily Essentials,where is the link,1,The user is likely expressing interest in finding the link to make a purchase.
bigbosswarehouse,Daily Essentials,Where are you based?,0,The user may be asking for the location of the seller or the broadcast host in order to gauge the feasibility of purchasing the products being showcased.
bigbosswarehouse,Daily Essentials,got one,0,The user is expressing their excitement or satisfaction about purchasing an item.
bigbosswarehouse,Daily Essentials,fab Ty,1,The user is expressing interest in purchasing the item being discussed in the live stream.
bigbosswarehouse,Daily Essentials,can I see the speaker please,0,"The user is likely expressing interest in seeing the speaker in the live stream, possibly to connect better with the content being presented."
bigbosswarehouse,Daily Essentials,got.2.speakers,0,The user is interested in purchasing a pair of speakers.
bigbosswarehouse,Daily Essentials,ordered,0,The user is expressing their interest in purchasing the product mentioned in the live stream.
bigbosswarehouse,Daily Essentials,"Show the throws please, the colours",1,The user is expressing interest in seeing the different colors of the throws being mentioned in the live stream.
bigbosswarehouse,Daily Essentials,Got 1  + paid 2 fidgets,0,The user is expressing interest in purchasing two fidgets after obtaining one before.
bigbosswarehouse,Daily Essentials,How order,1,The user is likely asking how to place an order for the products being discussed in the live stream.
bigbosswarehouse,Daily Essentials,Where is the speakers mate,0,The user is likely asking for the location of the speakers being shown in the live stream.
bigbosswarehouse,Daily Essentials,Sold,0,The user is likely indicating that they have successfully made a purchase.
bigbosswarehouse,Daily Essentials,i got these last week there lovely,0,"The user is expressing satisfaction with a recent purchase, indicating that they purchased something similar to the product being discussed in the live stream."
bigbosswarehouse,Daily Essentials,Got mine last week and they are stunning,0,The user is expressing their satisfaction with a recent purchase and emphasizing the quality of the product.
bigbosswarehouse,Daily Essentials,How do I order throw,1,The user is likely asking how they can place an order for the throw item being discussed in the live stream.
